n,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e
1333.4,1488.5,1647.3,1813,1967.7,2189.6,2323.2,2424.4,2515.5,2690.8,2862.5,3067.4,3196.1,3299.4,3457.4,3584.3,3740.5,3879.8,3978.3,4071.5,4241.1,4414.9,4617.7,4740.5,4841.1,4998.7,5099.1,5257.7,5378.3,5540.3,5676,5774.8,5867.5,6044.4,6215,6419,6543.2,6645.9,6798.4,6895.8,7053.2,7184.9,7340.4,7475.9,7573.5,7662.7,7836.6,8015.5,8219.7,8409.6,8496,8590.5,8768.1,8951
1384.7,1526.4,1696.3,1865.2,2054.3,2264.2,2398.9,2495.7,2583.1,2801.1,2952.2,3135.1,3252.9,3383.1,3529.9,3656.1,3819.9,3953.2,4051.2,4137.7,4360.8,4501,4680.8,4795,4930.2,5051.7,5182.1,5331.3,5453.2,5620.3,5752.4,5848.5,5934.1,6169.3,6311,6491.2,6602.6,6732.9,6852.8,6983.7,7131.3,7262.2,7418.2,7548.5,7646.8,7734.1,7955.2,8115,8303.1,8471.6,8570,8662.2,8884.2,9042.7
