n,u,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b
1481.8,1632.9,1825.3,1990.8,2213.9,2355.6,2458.3,2555.3,2725.4,2903.4,3107.5,3224.8,3326.6,3484,3588.5,3753.7,3884.1,4043.3,4189.2,4286.3,4377.7,4548.7,4725.5,4922.2,5117.9,5212.8,5311,5496.6,5669.9,5875.6,6000.3,6104.8,6257.7,6360.1,6525.2,6654.9,6811.8,6952.1,7053.1,7148.4,7312.9,7490.5,7699.3,7823.1,7925.4,8072.5,8176.2,8356.3,8483.9,8650.5,8792.3,8890.7,8986.1,9162.2,9341.8,9554.7,9677,9780.6,9930.2,10031,10206,10336,10500,10644,10743,10839,11010,11188,11412,11540,11646,11796,11898,12071,12179,12359,12496,12663,12808,12909,12999,13191,13370,13596,13802,13892,13987
1540.5,1692.5,1871.5,2086.1,2291.8,2432.9,2535.3,2627.2,2846.7,2995.1,3173.3,3285,3417.2,3542.7,3679.5,3832,3966.6,4126.9,4263.8,4362.5,4464.8,4672.8,4818.1,5011.8,5185,5295.4,5384.1,5615.8,5765.2,5946.3,6067.9,6197.4,6322.9,6447.9,6600.9,6733.3,6897.8,7028.7,7131.5,7227,7440.1,7589.6,7762.3,7886.6,8018.3,8138.9,8273.8,8426.6,8561.9,8737.6,8869.1,8968.8,9063.5,9284,9442.1,9632.3,9742.2,9869.2,9995.1,10119,10280,10415,10584,10720,10820,10917,11128,11293,11485,11608,11736,11862,11993,12137,12271,12442,12579,12749,12886,12984,13075,13317,13465,13685,13868,13979,14067
