u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1056.4,1193.2,1359.6,1837.4,1977.2,2185.4,2322.9,2427.7,2519.7,2689.3,2869.8,3079.6,3211.5,3318,3496.8,3631.2,3792.7,3933.4,4034,4128.1,4300.3,4481.6,4693.1,4817.7,4923.2,5077.7,5181.1,5346.9,5472.3,5637.2,5777.7,5875.8,5970.1,6143.9,6319.2,6511.7,6704.4,6794.1,6887.9,7063.4,7239.6,7456,7574.7,7676.4,7828.3,7927.6,8089.4,8191.9,8368,8496.2,8653.9,8795.3,8901,8996.5,9183.7,9366.9,9583.9,9705.3,9811.2,9957.2,10058,10238,10368,10533,10680,10777,10871,11054,11239,11433,11644,11742,11836,12017,12205,12422,12546,12650,12798,12900,13081,13208,13374,13521,13625,13718
1104.5,1250.2,1416,1889.7,2067.5,2250.6,2402.6,2500,2588.6,2810.5,2961,3149,3269.3,3406.7,3569.9,3709.9,3875.5,4009.2,4105.9,4199.9,4423.1,4577.3,4760.9,4876.6,5016.4,5134.2,5272.2,5428.2,5556.2,5722.3,5853.7,5952.9,6044.6,6268.3,6415.4,6600.4,6769.2,6870.1,6964.1,7186.3,7334.6,7522.7,7631.6,7775.2,7887.7,8020.9,8150.8,8286.6,8444.7,8576.4,8737.1,8880.3,8977.3,9071.2,9308.9,9465.9,9655.1,9766.1,9904.1,10024,10151,10312,10447,10623,10752,10854,10942,11181,11338,11523,11718,11823,11915,12142,12314,12494,12610,12740,12862,12986,13152,13294,13457,13600,13705,13790
