u,u,u,u,r,n,n,a,b,l,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,s,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1042.5,1206.5,1372.2,1574.5,1743.1,1978.4,2125.2,2229.4,2323.8,2513.4,3115.3,3264.5,3468.2,3604.7,3704.4,3801.2,3994.8,4177.5,4388.8,4512.8,4616.8,4785.5,4917.9,5085.4,5227.5,5324.6,5427.5,5608.6,5789.8,6003.4,6128.9,6234.8,6408.2,6537.6,6704.9,6845.7,6945.8,7039.6,7218.3,7398.9,7611.4,7733.3,7837.7,8006.4,8110,8281.1,8410.3,8573.5,8718.1,8815.4,8911.7,9098.5,9276.6,9475,9675.1,9760.3,9858.6,10044,10223,10432,10553,10657,10815,10917,11098,11231,11393,11532,11639,11735
1093.4,1257.6,1424.5,1625.1,1827.4,2054,2201.6,2301.9,2387.3,2616.7,3169.4,3348.4,3545.6,3681.4,3782.2,3869.6,4114.3,4268.4,4446.6,4571.5,4707.1,4858.8,4987.5,5167.4,5300.4,5399.8,5492.4,5727.7,5882.7,6068.8,6188.1,6321.5,6483.3,6617,6787.9,6920.6,7020.9,7104.5,7348.1,7498,7681.4,7794,7929.1,8060.8,8192.8,8358.9,8489.8,8664.1,8793.4,8891.9,8979.1,9223.4,9377.7,9555.4,9736,9838.8,9925.8,10166,10318,10503,10612,10750,10875,11011,11175,11306,11471,11614,11719,11806
