u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,l,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n
1352.3,1489.2,1640.4,1784.4,1960.6,2206.1,2341.2,2439,2529.6,2703.7,2884.3,3092.7,3212.1,3316.2,3487.6,3618.4,3784.3,3920.4,4018.9,4116.8,4285.7,4465.6,4668.8,4794.1,4896.9,5052.9,5155.4,5494.5,5674.3,5800.9,5984.8,6119.2,6222.8,6315.4,6484.2,6663.6,6869.5,6986.4,7086.3,7234.3,7336.6,7497.1,7628.8,7785.9
1387.6,1532.5,1687.2,1834.8,2036.5,2282.4,2410.3,2506.4,2590.1,2818.8,2972.1,3155.4,3270.1,3401.6,3561.2,3687.7,3858.7,3992.1,4096,4177.8,4406.2,4557.8,4738.3,4847.4,4985.7,5108.8,5243.5,5538.5,5733.2,5885,6063.4,6198.8,6294.4,6384.5,6611.6,6754.2,6940.2,7042,7169.6,7290.3,7414.6,7574.4,7703.1,7866.1
