r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,n,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1486.2,1738.2,1882.1,1988.7,2087.1,2277.6,2455.7,2651.4,2784,2895.9,3069.8,3210.6,3370.3,3515.5,3612.8,3710.8,3893,4067.2,4289.1,4420.5,4529.4,4704.1,4837.1,5000.9,5140.4,5240.7,5339.2,5512.4,5688.6,5906,6037.8,6147.1,6336.1,6465,6632.4,6771.5,6868.4,6963.9,7140.3,7314.8,7529.8,7670.8,7873.7,7960.2,8055.5,8226.9,8402.9,8607.8,8809.9,8900.7,9002.7,9167.2,9350,9574.2,9691.2,9796.3,9945,10045,10209,10311,10478,10612,10766,10903,11001,11097,11277,11455,11684,11811,11917,12070,12170,12342,12474,12636,12783,12885,12980
1560.9,1803.1,1951.4,2056.4,2141.8,2375.2,2513.8,2712.8,2833.2,2970,3138.5,3270.3,3441.2,3584.8,3686.5,3769.5,3990.2,4155.6,4353.2,4469.4,4604.1,4773.1,4904,5076.2,5210.4,5313.3,5401,5613.6,5776.9,5974.2,6088.4,6225.3,6405.6,6533.8,6713.5,6841.9,6944.6,7030.2,7250.6,7409.9,7590.7,7742.3,7934.7,8038,8121.7,8338.5,8489.5,8677.7,8873,8978.2,9064.2,9289.8,9441.4,9636,9742.1,9872.8,9995.6,10121,10257,10387,10550,10683,10842,10976,11079,11160,11382,11544,11751,11862,11992,12124,12250,12415,12548,12718,12862,12963,13044
