u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r
1829.2,1973.4,2193.5,2327.6,2425.1,2521.6,2694.9,2872.6,3076,3203.7,3307.7,3476.1,3609.4,3769.2,3913.7,4012.1,4107.4,4285.7,4456.8,4679.4,4811.1,4918.4,5076.3,5177.8,5373.8,5508.6,5669,5802.8,5901.4,5994.8,6170.7,6348.4,6552.9,6746.1,6831.1,6929.4,7110.8,7285.6,7496.8,7616.8,7719.9,7896.4,8036.1,8194.5,8328.4,8427.1,8522,8699.2,8867.4,9098.9,9220.8,9323.1,9482.2,9583,9756.4,9885.1,10063,10200,10300,10395,10574,10752,10969,11097,11201,11354,11456,11626,11756,11915,12054,12147,12243,12413,12591,12810,12940,13044,13197,13297,13473,13607,13772,13913,14010,14102,14282,14460,14662,14867,14950,15047,15220,15404,15632,15779,15881,16073,16176,16360,16494,16658,16799,16899,16994,17179,17362,17599,17731,17835,17997,18099,18291,18436
1866,2041.2,2260.9,2396.4,2496.3,2581.6,2804.4,2960.2,3142.2,3256.5,3388.3,3547.9,3680.2,3850.8,3984.3,4084.4,4172.7,4387.4,4551.8,4744.6,4865.4,5002.3,5129.2,5262.1,5447.9,5578.2,5745.2,5875.2,5975.8,6060.3,6293.6,6438.9,6614.4,6800.7,6913.8,6995.6,7223.4,7381.4,7560.5,7668.3,7801.7,7968.6,8107.8,8275.4,8401.6,8499.3,8585.5,8813.7,8960.6,9166.5,9280.1,9415.5,9538.4,9664.7,9831.7,9958.2,10141,10274,10378,10468,10695,10847,11037,11150,11286,11411,11548,11704,11832,11997,12126,12225,12312,12537,12687,12882,13000,13133,13252,13387,13549,13684,13853,13984,14086,14182,14398,14565,14752,14921,15026,15115,15343,15480,15704,15834,15972,16136,16264,16435,16567,16741,16876,16975,17066,17296,17469,17672,17795,17933,18066,18196,18367,18515
