u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,u,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b
1096.2,1258.5,1498.5,1635.2,1844.4,1985.3,2084.1,2180.1,2356.5,2521.4,2730.2,2848,2952.4,3123.8,3248.6,3430,3572.9,3674.6,3764.9,3943,4120.4,4334.1,4458,4558.4,4737.5,4857.8,5021.6,5157.5,5255.7,5350.9,5530,5712.6,5931.8,6051.9,6155,6305,6402.8,6582.3,6713.7,6869.9,7003.4,7103.4,7200.1,7368,7534.7,7740.5,7859.1,7961.3,8108.7,8208,8377.3,8503.2,8653.9,8789.6,8887.6,8981.4,9170.9,9341.8,9535.3,9724.9,9810.2,9905.4,10104,10286,10503,10619,10723,10873,10976,11148,11280,11438,11578,11675,11769,11954,12125,12346,12546,12625,12718,12887,13066,13275,13403,13506,13653,13756,13925,14059,14221,14369,14470,14563,14746,14929,15134,15350,15427,15519,15692,15868,16105,16234,16341,16512,16620,16798,16931,17115,17562,17696,17907,18042,18142,18238,18426,18603,18840,18975,19082,19241,19343,19500,19602,19793,19931,20105,20248,20348,20442
1132.4,1328.4,1549,1711.3,1913.1,2057.9,2152.5,2240.4,2447.9,2602.5,2784.6,2897.2,3025.1,3189.2,3313.7,3511.9,3647.9,3747.6,3831.3,4038,4210.2,4396.2,4510.1,4632.3,4804.4,4926.6,5096.2,5230.7,5328.8,5413.6,5638.2,5796.5,5992.6,6103.5,6232.6,6359.4,6479.3,6652.1,6783,6947.1,7079.1,7177.4,7258.8,7476.5,7621.8,7808.2,7915.2,8042.4,8165.6,8283.7,8448.2,8569.3,8730.7,8863.8,8962.2,9045.1,9282.2,9419.4,9611.2,9787.2,9888,9972.5,10216,10376,10567,10673,10800,10923,11060,11218,11353,11513,11652,11751,11838,12067,12217,12418,12600,12702,12787,12995,13153,13340,13455,13585,13713,13835,13998,14131,14300,14445,14548,14635,14854,15014,15206,15396,15504,15586,15803,15958,16171,16289,16427,16566,16700,16869,17004,17176,17602,17771,17986,18116,18223,18305,18531,18696,18905,19028,19161,19293,19420,19556,19679,19864,20005,20184,20321,20421,20508
