u,u,u,u,r,n,n,a,b,l,w,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1295.4,1447.9,1635.1,1803.2,1961.7,2182.6,2325.3,2430.9,2522.9,2698.7,2887.3,3508.9,3642.8,3841,3971.8,4075.6,4168.8,4340,4508.1,4731.6,4853,4957.2,5147.7,5285.9,5440.5,5580.4,5679,5772.3,5938.8,6114.4,6330.1,6445.4,6550.4,6702.6,6802.2,6974.7,7105.4,7262,7402.1,7508.6,7601.4,7773,7946.4,8143.3,8331.3,8411,8503.6,8684.5,8858.2,9065,9189.8,9294.5,9445.2,9544.6,9707.2,9839.6,10005,10142,10240,10334,10508,10687,10902,11017,11123,11281,11380,11550,11684,11852,11997,12102,12194,12370,12548,12756,12952,13038,13135,13311,13491,13718,13837,13942,14091,14193,14367,14502,14669,14808,14910,15001,15179,15351,15561,15757,15847,15942,16124,16313,16529,16664,16770,16918,17022,17201,17341,17512,17655,17756,17852
1334.8,1490.6,1684.5,1849.9,2037,2256.8,2400.2,2502.2,2587.3,2809.6,2929.9,3563.1,3735.1,3916.1,4049.1,4148.2,4233.9,4454.9,4603.3,4793.1,4909.7,5047.5,5225.6,5356.1,5516.8,5654.4,5753.5,5835.5,6057.3,6204,6393.1,6501.3,6638.7,6758.9,6898.4,7049.9,7182.9,7341.1,7483.3,7582,7665,7896.7,8039.5,8230.2,8383.5,8486.3,8570,8806.7,8951.8,9135.8,9244,9377.7,9500.2,9631.9,9782.3,9909.2,10081,10215,10311,10397,10625,10779,10968,11074,11206,11331,11462,11626,11755,11936,12074,12178,12257,12485,12641,12830,13015,13115,13195,13427,13576,13786,13890,14022,14144,14279,14440,14574,14749,14882,14983,15067,15286,15443,15638,15820,15922,16013,16239,16406,16599,16722,16852,16975,17108,17275,17413,17592,17730,17830,17916
