u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x
1422.6,1594.8,1757.7,1973.5,2114,2219.2,2315.1,2495.1,2672.5,2882,3009.1,3114.2,3295.3,3426.8,3593.8,3738.4,3838.8,3933.9,4113.7,4285.3,4477.9,4681.7,4764.4,4857.9,5038.2,5221.7,5433.6,5555.8,5659.8,5814.8,5917.5,6096.9,6225,6382.6,6514.6,6613.5,6709.7,6881.2,7052.4,7260.5,7461,7541.5,7636.7,7812.4,7993.9,8194,8397.3,8491.3,8584.1,8763.7,8938.7,9172.6,9290.1,9391.9,9542.3,9640.5,9841.8,10018,10184,10319,10419,10513,10697,10874,11092,11215,11316,11462,11563
1467.3,1640.1,1826.5,2047.4,2180.7,2288.2,2372.5,2596.8,2736.5,2938.9,3055.8,3187.3,3360.8,3493.7,3670.1,3808.5,3913.1,4000.7,4231,4374.3,4556.5,4729.7,4837.9,4918.6,5161.6,5317.9,5495,5607.5,5749.1,5868.4,6006.7,6168.7,6301.3,6458.9,6587.3,6686.8,6772.4,6993.2,7138.3,7337.8,7511.8,7619.3,7704.3,7929.9,8086.9,8271.9,8460.4,8563.2,8652.4,8884.6,9031.3,9240.2,9342.9,9464.9,9592.6,9720.7,9915.9,10069,10268,10396,10496,10581,10819,10962,11159,11267,11402,11513,11642
