u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,t,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,w,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b
1602.1,1751.1,1973.8,2114,2217.2,2315.1,2496.4,2676.9,2892.8,3021.3,3129.3,3304.2,3435.2,3592.6,3734.5,3841.8,3941.2,4135,4310.3,4530.3,4648.8,4757,4916.6,5019.9,5195.9,5333.4,5496.6,5638.7,5735.7,5831.8,6004.1,6177.1,6389.1,6512.2,6617.9,6784.7,6888.2,7056.4,7190.8,7359.8,7493.3,7594.9,7693.6,7869.6,8043.2,8264.6,8388.5,8495.7,8651.9,8753.6,8920.7,9056.1,9223.1,9363.5,9463.6,9559.8,9742.7,9928.9,10485,10610,10806,10946,11046,11144,11322,11496,11711,11829,11934,12084,12184,12353,12482,12644,12785,12888,12984,13164,13347,13549,13754,13843,13942,14137,14312,14524,14728,14821,14919,15094,15278,15489,15611,15718,15864,15968,16154,16295,16459,16610,16712,16812,16993,17178,17405,17530,17636,17797,17904,18083,18222,18393,18534,18634,18731,18915,19114,19347,19482,19590,19757,19859,20057,20198,20358,20508,20612,20707,20894,21084,21306,21529,21610,21709
1644.9,1822.8,2044.1,2188.1,2292.9,2376.7,2596.4,2764.3,2958.2,3071.1,3196.8,3373,3501.2,3668.3,3811.8,3918.8,4005.3,4248.2,4401.8,4590.7,4699.7,4840.7,4969.7,5101.1,5265.7,5403.4,5582.7,5710.5,5809.5,5896.2,6126.7,6262.6,6451.2,6562.7,6702.4,6837.9,6976.9,7131,7265,7442.2,7572,7672.9,7756.9,7989.7,8135.8,8331.8,8446.1,8574.5,8699.9,8839.1,8998.8,9129.6,9306.4,9439.6,9541.6,9627.2,9865.9,9966.6,10517,10691,10888,11019,11120,11210,11435,11582,11777,11882,12012,12138,12265,12423,12552,12726,12865,12966,13052,13282,13438,13623,13818,13923,14009,14251,14403,14599,14795,14901,14988,15217,15369,15557,15666,15804,15923,16053,16241,16367,16547,16687,16790,16876,17116,17271,17472,17585,17716,17853,17982,18157,18299,18474,18611,18712,18803,19033,19158,19417,19541,19673,19806,19942,20128,20270,20444,20586,20690,20777,21014,21172,21385,21580,21686,21775
