u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,n,r,n,a,a,l,e
1507.1,1646.2,1815.5,1976.2,2198.6,2329.1,2430.3,2524,2700.8,2870.2,3076.6,3198.9,3300.9,3468.7,3594.5,3744,3876.2,3975.9,4068.5,4244.3,4420.5,4627.5,4747.9,4850.3,5001.8,5097.8,5263.7,5387.2,5550.6,5689.5,5791.4,5886.8,6083,6264.1,6495.5,6593.8,6799.4,6888.2,6981.2,7167.2,7357.2
1551.7,1689.7,1861.3,2061.8,2272.2,2403.4,2503.4,2589.7,2815.9,2952.1,3139.3,3252.4,3385.9,3541.2,3668.9,3819.9,3949.5,4049.8,4134.5,4361.2,4511.7,4694.1,4802.3,4931.8,5054.2,5187.1,5329.2,5457.5,5629.6,5766.1,5864.8,5953.3,6197.3,6358.8,6555.2,6670.8,6862,6964,7053.7,7282.2,7452.4
