u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b
1502.2,1668.7,1824.7,1970.9,2158.3,2292.2,2388.7,2482.5,2641.2,2811.2,3012.3,3129.3,3229,3395.5,3519.1,3671.6,3805,3898.5,3992.1,4153.2,4326,4528.2,4712.2,4795.6,4890.6,5060.2,5234.6,5434.6,5551.3,5655,5799.1,5896.2,6062.9,6192.3,6338.2,6476.8,6574.2,6667.2,6834.8,7007.5,7209.1,7402.7,7483.2,7575.3,7754.9,7937.7,8153.2,8273.6,8374.6,8523.8,8621.9,8791.2,8921.4,9082.1,9223.6,9322.5,9418.1,9584.7,9761.8,9973.4,10095,10195,10352,10452,10631,10769,10938,11084,11183,11275,11456,11642,11840,12045,12129,12220
1547.7,1719,1876.4,2052.3,2235.5,2364.5,2460.1,2548.8,2750.5,2897.5,3077.6,3184.7,3319.1,3466.2,3588.5,3749.1,3875.8,3973.8,4059,4268.3,4414.2,4609.6,4771.4,4874.4,4960.3,5185.2,5322.1,5499.8,5610.8,5738.7,5853.2,5988.7,6137.6,6265.6,6420.6,6552.6,6645.2,6733.1,6956.8,7099.6,7293.8,7449.6,7563.5,7649.3,7877.3,8029.3,8226.2,8338.9,8464.9,8580.8,8713.7,8866.3,8996.8,9164.6,9297.5,9399.1,9490.8,9699.3,9852.4,10044,10155,10291,10409,10547,10709,10840,11024,11160,11260,11348,11572,11733,11918,12101,12207,12291
