u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1067.1,1228.5,1415,1584.2,1752.6,1991.4,2136.6,2240.9,2337.7,2515,2698.5,2911.7,3039.2,3148.1,3314.7,3457.8,3626.9,3765.2,3871.2,3971,4148.5,4329.6,4534.5,4666.1,4772.2,4949.6,5086.5,5261.2,5406.4,5507.1,5607.9,5782.6,5968.1,6184.6,6307.6,6415.8,6593.3,6731,6893.2,7035.2,7138.2,7234.4,7424.1,7602.3,7818.2,7942,8050,8199.9,8301,8478.9,8615.3,8782.9,8933.9,9033.6,9131.6,9331.1,9515.8
1120.5,1278.8,1455.4,1627.2,1839.6,2071.6,2213.8,2314.8,2404.1,2614.1,2790.1,2974.7,3094.9,3235.9,3396.2,3536.4,3706.5,3847.8,3948.2,4036.8,4276.9,4428.2,4605.2,4725.2,4866.5,5027.8,5169.6,5345.2,5483.7,5584.2,5674.7,5904,6063.8,6252,6369.9,6504.7,6672.3,6809,6976.5,7114.9,7212.2,7302.2,7549.8,7705.6,7888.7,8000.2,8138.6,8253.7,8383.2,8556.1,8696,8871.4,9008.1,9111.6,9201.5,9443.4,9612.1
