u,u,u,u,u,u,r,u,r,n,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r
1142.7,1304.2,1425,1566.8,1712.8,1867.6,1985.6,2234.2,2383.4,2608.5,2801,2948.6,3153.8,3296.6,3389.8,3483.6,3658.1,3835.7,4045.5,4167.9,4274.1,4441.2,4572,4733.4,4875,4975.7,5067.9,5251.7,5422.2,5629.4,5745.8,5847.8,6003.3,6101.1,6266.9,6401,6577.9,6719.1,6814.1,6913.8,7087.1,7269.2,7489.4,7603.5,7707.7,7850,7951.8,8116.9,8247
1182.7,1343.7,1485.2,1618.8,1767.5,1913.8,2074.1,2282.5,2479.7,2655.4,2859.2,3044.3,3232.9,3365,3463.9,3549.2,3777.2,3924.8,4108,4228.2,4354.8,4510.8,4646,4816.2,4949.8,5051.9,5136.3,5370,5515.1,5692.8,5803.2,5933.1,6059,6189.2,6338.2,6479.4,6658.5,6791.8,6891.6,6980.8,7205.4,7358.3,7555.1,7663.4,7795,7908.6,8031.1,8187.7,8318.3
