u,u,u,u,u,r,n,n,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b
1154.9,1332.9,1493.4,1643.5,1810.7,1967.4,2209.3,2355,2688,2833.3,3047.6,3193.3,3291.6,3390,3563.5,3742.9,3951,4082.1,4188.7,4356.5,4488.7,4653.5,4800.2,4910.4,5005.6,5200.5,5378.8,5595.6,5722.4,5829.8,6001.8,6134.8,6291.3,6424.3,6527.7,6622.2,6792.2,6969.8,7186.2,7308.2,7412.7,7562.9,7663.2,7828.5,7962.9,8118.3,8258.4,8357.7,8454.1,8639.6,8815,9044.3,9164.9,9271.7,9427.6,9530.3,9691.6,9792.1,9986.2,10122,10281,10415,10513,10611,10782,10959,11161,11368,11457,11556,11742,11924,12160,12280,12386,12538,12639,12813,12954,13118,13260,13362,13454,13634,13812,14031,14152,14259,14412,14516,14690,14826,14994,15142,15247,15342,15514,15703,15918,16126,16216,16311
1189,1366.2,1534.7,1690.6,1860.5,2053.7,2273.9,2413.8,2735.9,2919.6,3135.8,3269.4,3364,3450.5,3675.7,3834.6,4012.3,4132.9,4275.3,4431.3,4562.6,4702.4,4881.9,4987.2,5072.2,5320.6,5465.3,5658.5,5780.7,5914.1,6075.1,6205.1,6369.9,6503.5,6603,6693.1,6915.9,7063.6,7255.5,7368.4,7500.1,7619.2,7746,7905.2,8036.1,8195,8334.9,8435.3,8521.5,8759.4,8903.2,9116.8,9218,9355.8,9487,9618.6,9743.6,9889.9,10069,10199,10363,10489,10593,10683,10910,11054,11241,11427,11539,11628,11857,12017,12232,12340,12475,12596,12725,12893,13027,13201,13338,13440,13530,13761,13911,14102,14214,14350,14473,14601,14765,14906,15075,15221,15329,15414,15645,15799,16004,16187,16294,16382
