r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,d
1736.3,1979.2,2119.4,2221.6,2317,2504.2,2680.4,2869.4,3000.8,3108.2,3290.3,3426.2,3580.7,3720.2,3823.6,4110.4,4280.5,4492.3,4621.3,4727.2,4894.8,4996.8,5163.2,5297.9,5463.3,5601.2,5704.7,5800.9,5970.5,6143.6,6340.7,6534.5,6616.9,6713.8,6902.3,7078.3,7301.7,7426.3,7531.3,7686.9,7788.8,7964.5,8093.2,8249.9,8382.1,8478.1,8573.3,8743.6,8923.7,9143.8,9261.7,9366.8,9522.7,9624.1,9799.6,9929.1,10090,10229,10327,10423,10595,10772,10989,11114,11220,11385,11487,11654,11829
1805.8,2052.2,2191.3,2295.1,2378.5,2603.7,2729.7,2929.6,3052.7,3185.4,3361.5,3490.9,3654.3,3795.1,3897.5,4210.5,4371.4,4557.3,4669.8,4804.5,4944,5077.1,5237.1,5368.4,5541.3,5675.8,5773.7,5865.2,6076,6233.8,6415.7,6586.6,6693.1,6780.3,7012.9,7172.2,7369.9,7481.8,7607.9,7738.4,7867.9,8034.4,8163.1,8327.7,8453.8,8558.2,8636.8,8848.8,9011.5,9210.8,9314.6,9446.7,9578.9,9703.6,9875.2,9997.2,10172,10301,10399,10489,10712,10858,11058,11166,11296,11434,11569,11730,11861
