r,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b
1144.4,1589.3,1840.5,1983.7,2082.8,2179,2367,2545.8,2768.4,2889.8,2992.6,3166.2,3301.9,3470.7,3615.8,3718.8,3814.5,4004.4,4185.8,4387.5,4542.8,4651.9,4824.2,4955.7,5121.6,5262.2,5361.6,5459.5
1214.8,1666.9,1912.2,2054.8,2157.2,2246.6,2471,2633.3,2827,2939.1,3072.7,3232.3,3372.2,3551.6,3693.5,3798.8,3883.7,4110,4276.6,4473.8,4594.8,4733.6,4896.9,5026.2,5202.2,5334.2,5439.8,5521.9
