u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,u,r,n,n,a,b
1175.8,1339.4,1619,1767.2,1987.2,2129.4,2235.9,2331.3,2520.6,2692.2,2905.1,3032.9,3139.9,3314,3443.3,3609.5,3744.7,3839.8,3933.2,4104.9,4279.6,4481.8,4688.9,4767.8,4863.2,5048,5231.7,5452.6,5574,5678.2,5834.8,5934,6104.4,6234.4,6401.7,6543.9,6639,6733.8,6903.8,7086.4,7298.5,7417.8,7518.8,7685.1,7784,7956.9,8081,8238.5,8379.4,8483.1,8577.3,8767.5,8942.6,9136,9343.5,9415.4,9507.3,9693.9,9870.9,10089,10206,10306,10450,10553,10727,10851,11015,11159,11256,11348,11524,11702,11936,12067,12171,12315,12416,12588,12685,12863,12992,13520,13661,13856,13994,14089,14186
1218.9,1425.2,1666.7,1855.3,2060.4,2201,2306.9,2398.8,2632.6,2788.2,2970.2,3085.8,3231.3,3385.9,3514.3,3683.7,3813.2,3910.2,3998.2,4221.8,4370.2,4568.1,4740.9,4843.8,4930.3,5169.4,5322.8,5518.1,5630.4,5771.8,5892.6,6032.2,6179.3,6310,6482.6,6616,6713.5,6803.7,7030,7176.8,7365.9,7481.1,7612.5,7746.1,7872.2,8033.7,8154.8,8319.4,8459.1,8557.9,8652.1,8886.8,9034.1,9221.2,9390.4,9492.1,9578.6,9817.4,9967.2,10161,10271,10399,10508,10643,10800,10929,11098,11234,11335,11421,11646,11800,12008,12127,12262,12373,12506,12643,12781,12943,13075,13579,13762,13947,14069,14171,14259
