u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,t,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1125.3,1314,1491,1643.8,1817.6,1971.3,2196.6,2346.1,2448.9,2546.4,2726.8,2912.9,3127.8,3257.4,3363.2,3532.6,3672.6,3845.4,3991.6,4096.4,4193.5,4368.7,4558.9,4778,4905.8,5012.6,5173.6,5281.4,5445.8,5579.5,5753.5,5901.9,6003.9,6104.5,6284.2,6471.3,6696.2,6828.3,6937.1,7119.1,7256,7430.6,7577.6,7677.7,7775.6,7955.2,8146.1,8355.5,8483.5,8592.2,8749.1,8853.9,9032.2,9168.8,9334.3,9482,9583.8,9679.9,9868.3,10056,10273,10405,10512,10668,10772,10947,11085,11255,11403,11510,11606,11788,11978,12194,12402,12493,12594,12775,12963,13186,13320,13430,13583,13688,13874,14009,14177,14323,14427,14523,14724,14908,15129,15341,15434,15534,15745,15933,16161,16289,16396,16550,16657,16861,16996,17180,17334,17443,17544,17736,17924,18148,18469,18540,18762,18986,19144,19248,19345,19534,19728,19969,20109,20216,20373,20480,20671,20809,20998,21152,21254,21353,21545,21740,22027,22175,22286,22453,22558,22744,22889,23075,23230,23346,23442,23634,23827
1165.1,1359.8,1529.8,1701.2,1868.8,2062.3,2275.1,2421.1,2524.2,2613.8,2844.3,3011.1,3191.2,3319.9,3452.2,3609.4,3751.9,3924.8,4070.2,4169.1,4265.9,4495.3,4654.4,4841.9,4962.5,5094.9,5233.5,5377.8,5524.8,5663.4,5840.7,5980.5,6082,6176,6411.4,6565.2,6763.9,6888.9,7026.1,7192.7,7332.1,7515.7,7652.3,7755.6,7846,8083.7,8237.6,8421.1,8543.6,8682,8811,8948.7,9112.4,9245.8,9415.5,9557.1,9664.5,9748.5,9996.4,10150,10347,10467,10602,10731,10863,11024,11165,11343,11483,11587,11683,11916,12075,12284,12467,12573,12672,12902,13059,13258,13383,13521,13643,13789,13953,14084,14258,14401,14503,14607,14851,15007,15219,15410,15514,15607,15866,16040,16233,16351,16494,16619,16743,16939,17076,17266,17421,17522,17616,17861,18029,18233,18517,18659,18864,19076,19218,19325,19417,19658,19838,20041,20172,20307,20441,20574,20748,20886,21081,21229,21334,21426,21668,21844,22098,22239,22382,22518,22653,22825,22970,23159,23322,23426,23519,23759,23934
