r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r
1743.6,1966,2110,2216,2311.7,2503.5,2677.7,2898,3028.4,3132.3,3303.1,3434.8,3600.2,3740.6,3841.9,3940,4121.8,4298.8,4505.8,4711.5,4792.6,4890.6,5072,5258.6,5476,5599.2,5705,5864.8,5966.9,6137.2,6271.5,6435.5,6578.3,6679.3,6775.7,6952.4,7136.6,7352.1,7473,7580.3,7729.2,7831.1,8000.9,8128,8295.8,8443.4,8543.4,8643.9,8831.1,9008.6,9220.5,9430,9520.4,9617.9,9792.6,9974.9,10188,10311,10418,10565,10669,10844,10977,11135,11274,11377,11475,11645,11828,12055,12180,12286,12446,12548,12726,12866,13032,13180,13284,13381,13559,13738,13946,14148,14240,14340,14526,14708,14927,15055,15163,15314,15420,15606,15748
1811,2034.7,2177.8,2285.1,2373.2,2608.5,2763.2,2958.7,3076.5,3208.4,3370.5,3502.4,3674.7,3814,3918.9,4004.5,4231.2,4391.5,4576.7,4757.2,4868.5,4955.6,5202.5,5347.2,5539.1,5649.6,5785.6,5913.9,6048.5,6207.7,6341.9,6519.9,6654.5,6754.2,6842.8,7062.5,7228.2,7416.8,7525.7,7665.7,7780.9,7909.7,8071.1,8196,8375.1,8515.8,8616.5,8704.7,8948.7,9093.7,9289.2,9491,9593.2,9681.1,9908.8,10062,10260,10362,10500,10619,10751,10919,11050,11214,11351,11451,11539,11758,11915,12120,12238,12366,12501,12631,12801,12938,13117,13257,13359,13449,13675,13827,14020,14210,14318,14403,14628,14799,14994,15109,15242,15369,15510,15680,15819
