r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,n,r,n,a,b,l,e
1727.5,1962.9,2108.5,2210.2,2308.8,2492.7,2667.8,2886,3016.4,3123.5,3305.4,3439,3600.6,3746.9,3851.8,3946.4,4129,4313.3,4529,4657.1,4764.3,4944.7,5079.9,5243.8,5386.1,5488.6,5583.2,5759.2,5938.5,6156.6,6350.7,6444.4,6542.2,6721,6897.6,7114.4,7233.9,7337.9,7492.9,7592,7763.7,7893.6,8058.9,8199.1,8301.5,8399.5,8611.5,8790.8,9006.3,9127,9230.8,9383.2,9485.8,9653.6,9783.9,9947.1,10089,10190,10287,10471,10652,10869,10997,11106,11265,11377,11570,11703,11873,12017,12123,12220,12395,12575,12808,12945,13052,13210,13311,13490,13623,13785,13932,14037,14135,14331,14512,14757,14873,15084,15167,15265,15460,15653
1809.2,2034.6,2181.4,2280.1,2370.8,2602.1,2753.5,2947.7,3068.3,3210.6,3376.2,3510.3,3677.7,3821.9,3925.4,4011.5,4234.4,4404.9,4593.8,4708.9,4844.8,5018.3,5148.1,5321.4,5459.9,5559,5647.1,5870.7,6026.9,6230.8,6416.6,6517,6608.8,6838,6990.8,7179.6,7288.2,7423.8,7547.7,7680.6,7837.5,7960.3,8141.5,8275.7,8378.4,8464.8,8734.2,8885.4,9077,9185.5,9316.8,9440.6,9572.3,9725.8,9857.4,10033,10166,10267,10354,10592,10747,10940,11058,11199,11324,11464,11642,11777,11952,12097,12201,12292,12510,12668,12877,12998,13143,13267,13400,13566,13693,13871,14010,14118,14202,14444,14606,14801,14943,15136,15248,15334,15583,15751
