r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e
1746.6,1958.4,2101.5,2205.7,2298.6,2483.9,2668,2890.6,3019.5,3131.2,3303.8,3439.9,3601.7,3741.9,3841.4,3935.7,4124.2,4307.1,4527,4656.5,4763.9,4933.5,5070.4,5226.6,5371,5472.1,5567.9,5752.1,5930.3,6148.9,6267.3,6374.2,6553.6,6688.1,6858,6998.5,7100.5,7193.5,7372.3,7548.7,7761.4,7952.9,8050.5,8150.6,8332.3,8512.3
1807.4,2025.7,2170.6,2276.6,2356.7,2597.6,2756.5,2949.6,3070.8,3209.7,3371.2,3507.3,3674.7,3811.8,3909.5,3997.5,4235.3,4395.7,4590.2,4706.8,4846.2,5003.5,5134.9,5307.3,5442.5,5544.5,5634.2,5859.8,6024.3,6208.7,6322.2,6464.7,6625.2,6752.7,6938.9,7069.5,7170.5,7256.1,7490.2,7638,7834.2,8019.7,8132,8212.4,8442.8,8590.6
