r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,w
1725.1,1955.3,2095.6,2194.7,2291.8,2468.5,2640.1,2848.9,2967.8,3071.4,3230,3333.2,3492.7,3626.3,3784.9,3917.4,4014.2,4111.7,4284.2,4452.4,4645.1,4837.4,4924,5018.1,5190.7,5362.5,5574.9,5701.2,5804.8,5954.8,6054.9,6215,6340.9,6494.2,6639.8,6733.7,6828.4,7005.9,7187.5,7402.2,7523.6,7630,7779.4,7878.1,8041.7,8173.8,8330.4,8464.3,8565.1,8659.3,8829.4,9004.4,9225.9,9343.7,9448.3,9593.6,9695.5,9867.4,9999.4,10156,10290,10387,10483,10664,10847,11050,11244,11330,11423,11604,11780,11993,12116,12222,12396,12528,12694,12836,12935,13032,13213,13394,13592,13790,13883,13982,14172,14356,14585,14704,14811,14959,15062,15231,15331,15506,15642,15807,15946,16047,16145,16316,16508
1789.7,2027.5,2161.1,2267.8,2352.5,2576.9,2724.6,2910.7,3016.1,3145.5,3277.6,3410.2,3563.9,3691.8,3863.9,3986.9,4086.6,4172.9,4391.5,4536.2,4712.3,4898.6,4999.2,5081.4,5290.2,5448.3,5640.2,5755.3,5881,6005.6,6126.6,6287.6,6412.6,6576,6707.1,6803.3,6889.2,7116.8,7273.5,7466.5,7574.8,7692.8,7828.5,7953.3,8113.4,8235.1,8409.3,8542.9,8640.8,8721.8,8931.7,9094.1,9293.4,9394.2,9524.5,9644.4,9771.4,9941.6,10064,10234,10363,10464,10546,10772,10933,11115,11307,11409,11491,11705,11866,12059,12166,12300,12467,12595,12778,12910,13008,13099,13328,13471,13660,13860,13962,14046,14280,14444,14650,14756,14890,15016,15137,15284,15414,15581,15712,15886,16023,16127,16207,16436,16564
