u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t
1787.9,1982.2,2242.9,2382,2484.7,2577.8,2761.7,2936.8,3142.1,3276.7,3384.7,3550.2,3680.3,3840.9,3977.4,4074.4,4172.5,4346.7,4525.8,4734.1,4860.5,4963,5137.4,5268.7,5432.3,5572.8,5670.8,5763.6,5938.9,6120.2,6339.7,6462.7,6566.6,6723.8,6822.6,6995.3,7123.3,7284.8,7423.4,7525.1,7617.5,7782,7962.7,8174.1,8296.6,8399,8550.6,8650,8822.8,8952.4,9102.2,9244.4,9341,9436.1,9603.4,9780.6,9985.9,10112,10218,10368,10467,10654,10791,10956,11103,11202,11299,11476,11663,11868,11992,12096,12247,12351,12525,12666,12835,12984,13084,13176,13347,13526,13750
1833.5,2070.4,2320.2,2456.3,2562.9,2645,2877.5,3029.6,3212.1,3336.9,3473.2,3628,3757.1,3924.2,4053.4,4152.4,4239.1,4471.1,4617.8,4806.5,4925.6,5052,5213.5,5348.6,5518.7,5646.7,5748,5832.7,6066.7,6219.9,6406.5,6522.6,6657.7,6787.9,6920.7,7071.7,7203.5,7371.3,7502.4,7598.8,7685.8,7915.2,8053.1,8245.8,8362.7,8488.8,8614.9,8738.9,8899.2,9032.6,9186,9320.1,9417.8,9509,9727,9875.2,10062,10172,10306,10425,10564,10730,10879,11043,11179,11281,11374,11599,11765,11945,12054,12186,12309,12441,12606,12744,12915,13064,13161,13247,13474,13628,13822
