r,n,r,u,r,n,n,a,b,l,e,t,d,x,s,d,n,u,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1602,1829,1972.8,2266.1,2399.1,2603,2742.7,2838.7,2933.6,3109.1,3286.3,3492.8,3625.1,3730.9,3907.9,4074.4,4195,4417.8,4601,4719.5,4918.1,5056.2,5154.9,5249,5423.2,5597.6,5806.5,5928.7,6029.7,6186.5,6285.6,6453.9,6585.4,6740.2,6874,6970.2,7064.8,7227.9,7401.8,7617,7732.2,7836,8033.2,8320.2,8458.4,8556,8651.2,8828.8,9003.8,9220.2,9337.8,9441.4,9591.3,9693.4,9871.2,10004,10168,10310,10414,10509,10687,10865,11067,11270,11360,11461,11635,11810,12023,12150,12255,12423,12523,12685,12821,13000,13143,13244,13338,13517,13693,13913,14035,14141,14294,14396,14576,14713,14875,15022,15122,15217,15398,15585
1664.3,1894.1,2028.8,2298.8,2481.1,2674.6,2813.3,2911.7,2997.8,3212.1,3377.4,3558.4,3675.5,3811.8,3979.8,4105.5,4235.8,4454.2,4638.3,4803.5,4996.1,5126.4,5230.3,5311.4,5530.5,5691.5,5873.8,5982.1,6121.3,6231.9,6370.1,6528.5,6651.8,6814.7,6944.5,7041.4,7131.2,7342.8,7495.8,7684.8,7789.8,7921.7,8103,8399.2,8533.9,8636.4,8721.7,8940.1,9091.9,9286.3,9391.7,9522.9,9645.8,9773.2,9947.8,10069,10255,10386,10490,10573,10805,10961,11139,11334,11438,11526,11742,11897,12091,12203,12345,12478,12607,12761,12889,13081,13218,13321,13405,13623,13781,13979,14090,14220,14349,14481,14652,14784,14961,15099,15199,15283,15513,15677
