r,n,n,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,b
1084.4,1327.5,1470.1,1775.1,1924.8,2153.2,2307.5,2410.8,2510.5,2693.1,2873,3082.6,3213.5,3324.2,3494,3631.2,3796.9,3941.6,4042.7,4139.7,4319.3,4496.6,4711.4,4833.4,4940.7,5113.3,5250.5,5410,5555.3,5656.6,5752.4,5937.6,6116.2,6321.2,6522.8,6608.3,6708.7,6881.9,7061.4,7254.5,7453.5,7540.6,7641.5,7817,7992.9,8211.1,8332.1,8438.1,8598.3,8700.5,8874.3,9012.9,9169.3,9309.6,9413.5,9512.9,9693.3,9875.2,10089,10220,10325,10496,10629,10786,10934,11038,11138,11316,11502,11719,11839,11944,12093,12195,12358,12461,12641,12778,12959,13107,13210,13306,13486,13666,13872,14074,14165,14264,14434,14616,14827,15047,15135,15229,15407,15597,15817,15947,16052,16229,16332,16511,16650,16815,16966,17069,17165,17350,17540,17766,17904,18011,18169,18272,18458,18599,18772,18922,19022,19118,19326,19518,19753,19886,19994,20163,20269,20462,20599,20781,21060
1172.4,1393,1532.8,1832.9,2021.4,2234.2,2387.4,2488.8,2575.9,2814.5,2962.8,3143.8,3269,3412.9,3565.8,3701.9,3875.4,4012.4,4117.7,4206.7,4439.5,4589.7,4779.2,4886.5,5022.9,5185.8,5319.1,5489.8,5629.6,5729.2,5816.6,6057.9,6208.6,6397.2,6583.8,6687.7,6772.7,7003.1,7129.1,7333.6,7514.5,7617.9,7704.7,7929.4,8081.3,8276.5,8387.4,8526.8,8654.5,8787.2,8948,9084.6,9250.5,9390.8,9492.8,9580.9,9820.4,9969.8,10157,10275,10399,10575,10700,10870,11011,11114,11207,11446,11595,11789,11894,12034,12150,12285,12416,12548,12716,12850,13047,13184,13288,13379,13607,13754,13962,14143,14244,14330,14558,14713,14914,15102,15214,15301,15530,15693,15888,16004,16149,16288,16421,16585,16726,16898,17043,17146,17236,17466,17634,17836,17961,18105,18228,18353,18534,18671,18855,18997,19099,19190,19446,19613,19820,19946,20083,20221,20356,20538,20674,20860,21174
