u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,n,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,s,d
1245.2,1414.5,1576.7,1743.1,1967.3,2115.8,2221.8,2314.5,2497.2,2682.4,2897.1,3030.1,3136.7,3311.7,3447.4,3612.4,3752.4,3851.2,3945.5,4118.9,4287.1,4505.2,4628.2,4737,4920.9,5055.5,5218.2,5355.6,5459.2,5553,5731.8,5911.2,6125.1,6244.4,6349.4,6509.8,6608.8,6780.6,6928.9,7094.8,7234,7333.4,7430.3,7615.3,7797.5,8001.9,8133.3,8238.9,8386.4,8488.6,8655.2,8784.5,8943.8,9081.4,9183.7,9280.2,9454.3,9632.2,9848.4,9974.4,10081,10262,10386,10584,10665,10764,10935,11119,11335,11464,11571,11725,11832,12007,12135,12299,12436,12533,12630,12808,12989,13213,13332
1286.9,1460.3,1627.3,1824.9,2042.7,2191.3,2294.6,2389.4,2612.9,2775.2,2958.1,3088.4,3225.1,3383.7,3520.9,3690.5,3825,3926.7,4016.3,4241.4,4389.6,4564.4,4686.7,4835.3,4992.6,5127.5,5297.2,5433.3,5534.4,5627.6,5857.4,6017.1,6189.5,6304.1,6438.3,6561.2,6695.2,6850.6,7003.4,7181.2,7309.7,7412.1,7504.6,7743.4,7889.6,8071.7,8195.7,8332.3,8447.1,8582.9,8729.1,8863.4,9026.3,9157.1,9262.1,9354.6,9579.1,9727.6,9914.5,10034,10176,10339,10475,10639,10746,10841,11061,11213,11403,11523,11655,11784,11928,12079,12213,12380,12511,12615,12708,12933,13092,13286,13389
