u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l
1794.4,1965.5,2181.4,2325.8,2425,2523.1,2698.6,2873.2,3092.2,3225.1,3330.6,3520.4,3653.1,3805.7,3941.2,4039.5,4134.6,4317.9,4492.6,4700.2,4820.7,4923.1,5069.2,5167.1,5344.5,5464,5622.6,5761.3,5865.1,5960.8,6133,6303.2,6517.2,6640.1,6740.6,6899.4,6999.5,7183.9,7313.5,7468.8,7603.7,7703.5,7795.8,7967.1
1848,2057.9,2255.2,2400,2499.5,2582.8,2805.6,2961.8,3153.6,3279.2,3419.8,3586.4,3724.1,3883.1,4015.4,4112.8,4196.3,4435,4585,4766.4,4873.3,5013.7,5117.1,5259.2,5413.5,5535.9,5700.9,5840,5941.3,6028.3,6243,6394.2,6582.8,6696.4,6827.8,6954.5,7082.8,7260.9,7391,7549.5,7681.9,7780.7,7863.2,8017.6
