u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,u,r,n,n,a,b,l
1161.5,1339.9,1626.5,1770.6,1986.6,2127.7,2234.1,2322.1,2516.6,2686.4,2890.6,3012.2,3116.4,3280,3416.8,3578.1,3720.7,3818.2,3915.1,4095.8,4267.2,4480.7,4602.8,4705.6,4869.9,5008.4,5171,5311.2,5411.5,5505.7,5682.9,5856.4,6072.9,6188.2,6291.2,6447.8,6546.6,6720.3,6848.6,7013.4,7155.4,7252.5,7346.8,7537.2,7715.6,7942.2,8057.3,8162.4,8316.1,8417.8,8584,8721,8881.4,9024.2,9122.9,9219.1,9402.8,9582.2,9804.3,9923.4,10033,10190,10289,10454,10555,10727,10855,11023,11174,11272,11365,11553,11732,11947,12147,12232,12333,12529,12713,12936,13066,13175,13331,13434,13620,13753,14015,14150,14355,14506,14606,14701,14887,15066,15282,15408,15512,15675,15777,15960,16096,16275,16424,16532,16628,17061,17199,17405,17544,17646,17746,17949
1201,1424.6,1672.5,1851.5,2060.2,2200.6,2301.7,2382.4,2623.3,2771.7,2953.7,3067.9,3197.1,3352.8,3485.2,3654.1,3793.5,3889.3,3975.2,4206.2,4333.6,4545.3,4656.3,4788.4,4942.7,5074.6,5246.8,5386.7,5485.5,5569.4,5798.8,5943.5,6136.3,6240.9,6373.8,6493.7,6622.7,6791.8,6914.7,7090.4,7228.3,7329.4,7411.5,7653.5,7807.7,8006.2,8115.5,8243.7,8371.5,8497.7,8657.4,8794.2,8963.5,9102.2,9203.2,9285,9517.3,9669.6,9869.9,9977.8,10113,10241,10373,10509,10642,10803,10927,11110,11248,11350,11434,11668,11823,12020,12203,12307,12399,12640,12805,13003,13119,13260,13387,13516,13694,13826,14054,14235,14447,14585,14683,14770,14994,15155,15350,15459,15595,15727,15862,16035,16170,16353,16492,16609,16696,17113,17283,17482,17621,17720,17813,18054
