r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e
1977.6,2266.8,2418.4,2638.3,2782.2,2877.4,2972.6,3150.3,3326.2,3540.2,3669.6,3777.4,3944.9,4080.2,4241.5,4383.2,4480.5,4572.8,4739.6,4914.6,5119.9,5247.9,5352,5519.9,5617.9,5781.1,5912.3,6070,6212,6308.4,6400.7,6575.5,6745.3,6956.5,7072.6,7174.2,7327.4,7427.2,7596.9,7719.7,7876.4,8013.8,8115,8208.5,8382,8558.5,8765.4,8883.1,8987.9,9136,9238.2,9401.1,9529.2,9684.4,9825.4,9924.4,10019,10190,10365,10561,10753,10838,10933,11099,11279,11500,11624,11729,11876,11978,12143,12245,12417,12545,12699,12838,12933,13028,13201,13385,13583,13703,13807,13951,14054,14226,14328,14512,14645,14817,14969,15070,15164,15346,15530
2054,2317.8,2511.1,2721.6,2853.6,2954.6,3038.6,3246.9,3413.6,3606,3727.8,3852.1,4015.5,4150.3,4324.9,4456.2,4555.2,4641.1,4845.1,5005,5185.3,5302.6,5437.1,5573.8,5693.7,5852.3,5986.9,6152.1,6284.1,6381.8,6465,6691.5,6836.8,7020.4,7126.6,7249.1,7389.5,7518.2,7668.1,7796.8,7963.5,8089,8192.2,8276.3,8502.9,8647.9,8831,8940.4,9073.4,9193,9318,9472.9,9599.4,9769.2,9898.2,9997.9,10086,10312,10453,10643,10816,10915,11001,11214,11378,11565,11679,11813,11931,12059,12200,12328,12494,12622,12783,12912,13010,13096,13315,13440,13651,13763,13891,14007,14136,14282,14410,14586,14718,14901,15046,15148,15233,15460,15623
