r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,n,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1730.2,1959.1,2106.2,2207.2,2307.7,2511.2,2698.8,2922.7,3062.1,3170.2,3349.2,3486.1,3650.9,3792.6,3896.9,3993.7,4176.6,4355.6,4572.2,4705.6,4811.1,4985.4,5121.5,5285.8,5425.5,5526.4,5624.9,5805.2,5982,6191.7,6318.8,6425.2,6583.9,6684,6849.5,6984.3,7132.8,7272.6,7372.4,7464.6,7638.5,7811.2,8027,8147.8,8254.4,8431.8,8559,8715.7,8854.6,8957.4,9053.4,9224.6,9403.6,9655.1,9779.4,9885,10049,10172,10369,10463,10559,10739,10923,11125,11323,11414,11512,11690,11870,12089,12266,12369,12521,12625,12795,12923,13085,13228,13332,13428,13608,13792,14009,14134,14241,14396,14496,14661,14801,14968,15122,15221,15319,15507,15696,15903,16100,16190,16287,16466,16652,16870,16999,17105,17261,17364,17550,17692,17860,18004,18105,18203,18384,18568,18790,18998,19082,19184,19372,19564,19829,19953,20063,20220,20322,20499,20637,20808,20960,21064,21165,21349,21543,21789,21915,22021,22185,22291,22474,22609,22769,22917,23019,23115
1801,2029.4,2176.8,2280.4,2362.6,2615.6,2785.3,2982.6,3111.4,3251.9,3415.1,3552.8,3725.9,3867.4,3968.7,4057.4,4286.8,4445.9,4641.2,4756.6,4894.5,5058.4,5191.2,5366,5502,5602.3,5689.1,5917.6,6069.7,6259.8,6375,6504.6,6629.9,6762.7,6917.7,7053.1,7212.3,7348.2,7446.7,7530.4,7751.4,7902.8,8091.4,8202.9,8333.7,8504.7,8627.2,8798.6,8933.2,9030.1,9119,9343.2,9497.7,9719.8,9833.8,9962.2,10127,10242,10440,10543,10628,10851,11013,11201,11391,11495,11582,11806,11965,12157,12317,12452,12577,12709,12868,12991,13169,13306,13410,13496,13724,13881,14076,14188,14322,14447,14575,14739,14871,15053,15196,15300,15386,15630,15788,15972,16161,16267,16353,16582,16746,16940,17056,17187,17310,17446,17626,17759,17940,18083,18186,18273,18496,18654,18864,19054,19166,19251,19487,19655,19899,20007,20143,20277,20403,20578,20708,20892,21039,21143,21231,21468,21637,21858,21975,22105,22246,22371,22552,22680,22853,22994,23096,23182
