u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,r,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,w
1085.2,1238.9,1420.6,1597.8,1790.8,1962.6,2195.5,2335.5,2440.6,2539.3,2710.2,2888.5,3096.8,3227.1,3334.3,3500.2,3637.2,3795.5,3942.2,4040.8,4138.7,4316.5,4502,4710.1,4837.4,4945.8,5120.8,5256.8,5413.2,5557.8,5659.1,5755.6,5939,6125.2,6339.9,6468.9,6637,6836.4,6919.1,7016.2,7188.5,7366.2,7587.9,7714.6,7818.5,7972.5,8071.8,8233.4,8369.4,8529.5,8671.5,8774.2,8869.9,9049.8,9230.5,9453.2,9579.4,9684.2,9834.7,9932.8,10106,10239,10400,10548,10648,10746,10914,11100,11320,11453,11558,11716,11820,11993,12127,12287,12429,12532,12630,12823,13009,13233,13362,13470,13629,13732,13908,14043,14216,14361,14460,14558,14741,14922,15129,15347,15436,15535,15740,15927,16172,16308,16414,16568,16674,16868,17017,17189,17337,17440,17534,17722,17912,18151,18290,18398,18565,18672,18857,19003,19186,19332,19433,19531,19710,19908
1153,1290.6,1461.4,1639,1833.4,2052.2,2272.4,2413.3,2518.4,2609.6,2826.1,2980.8,3158.3,3286.5,3419.9,3573.2,3711.6,3882.9,4018.8,4118.2,4208.2,4440.2,4598.2,4778.9,4896.2,5024.6,5196.8,5327.5,5498.8,5636.5,5738.8,5823.5,6061.4,6222.1,6409.3,6515.7,6720.4,6894.9,7000,7086.3,7310.8,7461.8,7654,7773.8,7905.5,8027.5,8163.9,8313.2,8446.8,8615.7,8751.4,8851.7,8934.8,9174.2,9330.4,9523.1,9637.6,9768.2,9893,10014,10183,10311,10486,10624,10726,10823,11038,11194,11392,11518,11644,11774,11907,12070,12207,12370,12507,12612,12706,12947,13112,13306,13423,13558,13690,13831,13987,14126,14301,14437,14539,14632,14863,15017,15205,15414,15519,15605,15861,16026,16239,16368,16502,16628,16756,16947,17096,17279,17412,17520,17604,17839,18006,18221,18356,18491,18620,18759,18932,19077,19268,19412,19513,19608,19837,19961
