u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r
1174.5,1350.4,1946,2164.2,2309.2,2407.7,2503.4,2677.8,2851.8,3062.6,3200,3308.2,3482.9,3619.2,3794.1,3933.6,4034.6,4131.7,4305.8,4480.6,4690.9,4815.5,4918,5072.3,5172.9,5340.5,5467.3,5619.9,5765.5,5865.1,5959.4,6144.9,6315.7,6535.3,6667.7,6769.4,6921.3,7022.2,7197.5,7329.2,7485.9,7629.8,7734.8,7829.1,7998.2,8171.5,8367.7,8565.9,8648.8,8746.5,8916.5,9093.2,9318.6,9439.5,9542.8,9692.9,9791.8,9962,10093,10253,10398,10502,10597,10767,10947,11177,11309,11413,11561,11661,11838,11975,12139,12275,12374,12470,12651,12829,13051,13175,13280,13439,13538,13708,13848,14019,14166,14269,14365,14541,14719,14928,15167,15251,15348,15521,15715,15943,16068,16174,16320,16421,16612,16759
1213.1,1385.7,2027.8,2243.5,2380.8,2483.7,2566.9,2782.8,2939.8,3125.4,3255.3,3384.8,3555.9,3693.6,3876.2,4011.9,4113.7,4196.7,4427.8,4570.1,4753.6,4871.4,4999.2,5126.2,5256.7,5413.4,5542.4,5706.3,5842.2,5942.6,6027.6,6259.6,6409.3,6602.2,6722.3,6856.4,6978.4,7110.5,7272.5,7400.9,7567.8,7711.5,7812.8,7898,8112.4,8261.6,8444.9,8626.2,8728.7,8814.4,9026,9181,9384.2,9495.2,9619.9,9749.3,9872.5,10036,10165,10335,10476,10582,10665,10884,11043,11246,11367,11494,11616,11747,11911,12051,12224,12348,12454,12538,12766,12925,13121,13233,13358,13497,13615,13783,13924,14097,14242,14349,14429,14652,14805,15006,15214,15330,15419,15631,15812,16013,16122,16260,16379,16508,16686,16838
