u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s
1149.6,1272.1,1439.7,1608.8,1771.3,1977,2120.2,2215.5,2310.2,2487.7,2667.5,2878.2,3006.1,3109.6,3277.9,3409.3,3572.2,3710.5,3809.8,3904.9,4078.3,4254.4,4464.1,4588.9,4693,4849.7,4949,5113.5,5245.8,5402.2,5545.2,5640.2,5731.5,5901.6,6073.2,6285.7,6411,6515.2,6659.5,6760.3,6927.5,7058.2,7222.5,7356.6,7454.3,7549.6,7719.8,7895,8109.9,8232.9,8336.4,8490.4,8591.4,8763.9,8898.2,9058,9202.2,9299.7,9392.5,9563.4,9734.6,9948.1,10137,10227,10324,10493,10675,10889,11013,11116,11263,11366,11532,11664,11821,11966,12062,12157,12350,12532,12752,12882,12990,13146,13248,13417,13552,13711,13854,13950,14045,14229,14406,14646,14788,14896,15058,15163,15351
1189,1320.8,1474.6,1646.9,1850.9,2053.9,2189.3,2288.2,2374,2601.6,2759.2,2938,3058.3,3193.3,3352.2,3484.2,3649.9,3787.1,3887.8,3973.4,4203.4,4347.4,4529.6,4640.8,4780.8,4907.8,5042.6,5191.6,5321.5,5484.7,5618.7,5715.6,5799.7,6021.7,6166.3,6354.3,6470.9,6594.4,6714.7,6843.3,7004.7,7131.4,7299.5,7429,7532.5,7615.6,7836,7984.9,8183,8290,8416.9,8542.4,8675.1,8836.8,8974.7,9140.3,9277.9,9376.7,9465.3,9686.1,9833.9,10024,10204,10306,10395,10613,10766,10961,11076,11206,11321,11454,11607,11739,11909,12042,12141,12227,12466,12626,12825,12941,13079,13205,13332,13492,13623,13797,13929,14028,14119,14350,14500,14715,14850,14976,15115,15251,15425
