u,u,u,u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,u,s,u,r,n,n,a,b,l,e,t,d,x,d,x,n,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,u
1013.7,1157.8,1315.4,1493.4,1649,1830.8,1982.2,2241.2,2382,2595.5,2735,2836.1,2932.2,3108.4,3282.2,3476.6,3598.9,3705,3861.2,3962,4135.1,4269.2,4425.4,4560.9,4665,4758.8,4927.7,5107.1,5322.4,5448.8,5557.2,5724.6,5827.4,6001.7,6135,6303.5,6442.1,6544.3,6639.7,6820.2,6944.3,7000.8,7373.2,7510.8,7704.3,7842.5,7943.9,8036.3,8205.1,8381.7,8589.8,8706.6,8809.8,8956.8,9061,9211.1,9315.6,9481.5,9603.6,9761.4,9897.2,9996.4,10088,10258,10431,10637,10757,10861,11016,11120,11271,11374,11549,11684,11836,11973,12074,12166,12353,12525,12745,12877,12981,13144,13246,13433,13565,13762
1067.5,1206.9,1368.1,1547.9,1699.3,1881.8,2068.2,2295.6,2476.9,2667.8,2826.1,2913.5,2999.2,3222.4,3346.6,3541.5,3654.5,3787.7,3917.8,4042.9,4204.3,4344.7,4504.6,4638,4740.6,4828.4,5045,5198.3,5386,5507,5642.6,5778.1,5920.3,6077.4,6205.4,6384.1,6519.6,6620,6710.9,6934.5,6981.3,7045.6,7412.3,7602.2,7786.9,7921.8,8019.5,8104.7,8326.9,8470.7,8652.1,8762.3,8899.7,9014.5,9138,9271.2,9405.8,9552.1,9684.8,9841,9971.5,10070,10158,10381,10523,10705,10815,10937,11070,11209,11330,11464,11624,11753,11915,12049,12150,12235,12469,12622,12814,12935,13069,13199,13339,13508,13641,13794
