r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s
1737.1,1966.9,2109,2210.5,2304.1,2486.6,2664.6,2886.4,3026.5,3137.4,3313.8,3443.6,3600.3,3739.9,3842.1,3938.8,4113.8,4295.6,4513.7,4646,4754.2,4913,5015.5,5181.7,5311.2,5477.3,5621.3,5720.4,5820.1,6000.9,6176.6,6389.1,6518.2,6624.6,6781.7,6886.1,7055.2
1801.1,2033.9,2176.8,2282.7,2368.4,2589.5,2732.5,2948.3,3074.5,3212.1,3377.2,3506.3,3677.4,3813.6,3916.2,3999.2,4226.4,4380,4579.1,4698.5,4833.5,4963.4,5093.5,5253.4,5376.1,5553.9,5692.3,5798,5884.1,6119,6263.7,6451.2,6569.7,6702.4,6834.8,6964.8,7122.1
