r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1758.1,1966.9,2111.8,2213.9,2311.2,2501.1,2677.4,2870.8,3003,3112.8,3297,3433.5,3600.7,3740.4,3837.9,3931.7,4107.1,4285.5,4506.8,4650.5,4759.5,4920.5,5024.6,5188.5,5322.2,5485.7,5630.1,5736.4,5831.4,6007.5,6189.1,6413.2,6541.5,6646.3,6816,6919.4,7096.7,7231.1,7399.8,7539.3,7643,7736.8,7920.9,8093.7,8292.9,8539.9,8637.5,8736.3,8920.6,9104.1,9327.3,9453.7,9560.7,9706.2,9808.3,9981.2,10113,10278,10416,10518,10613,10800,10984,11199,11327,11433,11584,11687,11871,12008,12170,12307,12405,12507,12685,12878,13110,13237,13348,13524,13627,13805,13949,14123,14272,14372,14467,14667,14853,15068,15275,15353,15451,15632,15818,16033,16161,16264,16413,16514,16687,16828,17009,17159,17260,17360,17554,17736,17943,18168,18253,18351,18544,18736,18976,19097,19203,19364,19467,19660,19817,20003,20146,20248,20344,20528,20723,20949,21090,21199,21367,21473,21680,21827,21999,22146,22246,22341
1824.9,2040.1,2181.4,2287.1,2372.5,2599.7,2731.8,2933.6,3053,3184,3364.5,3498.3,3673.5,3811.2,3909.3,3998.2,4217.8,4378.4,4569.6,4706.2,4836.7,4972,5109.7,5259.6,5390.2,5563.2,5710,5812.2,5896.1,6118.9,6281.5,6475.8,6593.3,6726.2,6871.5,6999.7,7166.1,7299.2,7477.2,7621.1,7717.3,7801.8,8033.1,8180.5,8367,8608.6,8716.7,8802.8,9029.2,9193.4,9396.1,9506.2,9641.7,9758.9,9885,10053,10185,10361,10494,10598,10678,10915,11076,11267,11381,11515,11638,11768,11947,12082,12249,12382,12483,12572,12800,12969,13171,13291,13426,13576,13712,13885,14023,14204,14345,14451,14535,14777,14919,15142,15327,15435,15515,15745,15906,16099,16214,16343,16467,16597,16759,16898,17090,17235,17337,17425,17663,17808,18018,18223,18328,18418,18657,18828,19041,19153,19287,19420,19553,19734,19883,20082,20224,20323,20411,20645,20815,21018,21143,21277,21420,21556,21754,21898,22076,22222,22323,22411
