u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,s,d,x,d,x
1545.6,1718.5,1952.7,2090.7,2196.6,2288.8,2466.8,2646.8,2871.9,2996.8,3100.7,3271.6,3400.1,3562.2,3702.1,3806,3900.9,4076.5,4249.3,4444.7,4645.6,4727.8,4824.1,5005.2,5192.3,5410.1,5530.7,5631.9,5787.6,5891.2,6064.7,6195.9,6350,6493.4,6600.3,6691.1,6862.3,7037.7,7259.3,7380.5,7484.6,7641.6,7743.7,7914.8,8045.9,8203,8341.9,8445.7,8540.1,8710.9,8893.1,9111.5,9236.7,9338.8,9494.1,9593.4,9765.1,9901.7,10065,10206,10307,10406,10592,10769,10966,11174,11256,11348,11540,11723,11954,12083,12187,12343,12444
1580.9,1789.6,2031.7,2166.2,2268.1,2350.8,2576.8,2736.8,2937.2,3051.7,3186,3341.2,3468.8,3644.4,3777.1,3880.8,3969.2,4195.4,4338.2,4515,4704.3,4803.4,4898.7,5118.4,5282.8,5476.7,5582.3,5725.1,5844.7,5983,6139.2,6268.5,6434.6,6572.3,6672.8,6762,6976.6,7129,7327.2,7437.3,7563.9,7698.4,7831.4,7986.9,8116.7,8289.9,8426.7,8521.3,8608.7,8830.5,8980.3,9178.2,9293.8,9427,9547.9,9680.3,9841.7,9981.3,10153,10286,10385,10469,10707,10857,11053,11233,11333,11422,11641,11818,12024,12142,12276,12402,12535
