u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,w,s,d,x,d,x,s,r,n,n,a,b,l,e,s,d,x,d,x,s,r
1127.4,1263.3,1430.6,1617.6,1804.2,1967.8,2192.5,2340.5,2440.1,2537,2731,2908.4,3120.8,3244.3,3350,3521.7,3655.5,3818.8,3959.5,4060.9,4157.2,4335,4515.7,4720.6,4843.8,4950.8,5101.7,5204.8,5366.9,5504.8,5665.6,5805.1,5902.1,5999.3,6180.6,6360.5,6570.8,6776.2,6859.6,6958.6,7146.9,7324,7535.6,7655.6,7760.8,7900.3,8000.7,8170.4,8302.9,8455.8,8594.7,8696.7,8792,8968.5,9143.4,9354.8,9479.8,9584.4,9730,9832,10010,10141,10307,10451,10552,10646,10820,11002,11214,11428,11513,11609,11783,11966,12166,12379,12462,12559,12730,12912,13123,13244,13345,13503,13606,13775,13906,14071,14218,14318,14418,14592,14784,15013,15145,15249,15406,15509,15689,15830,16037,16183,16282,16380,16571,16767,16956,17077,17183,17356,17460,17638,17788,17972,18117,18214,18310,18491,18676,18889,19014,19116,19272,19374,19583,19735
1164.4,1309.9,1475.6,1667.9,1852.9,2049.9,2265.6,2411.1,2511.5,2602.7,2847.1,2999.8,3180.9,3301,3440.9,3594.6,3725.2,3896.6,4033.1,4138.3,4224.9,4455.2,4605.9,4788,4896.9,5032.7,5157.3,5297.2,5438.1,5581.2,5749,5879.2,5979.4,6075.2,6298.5,6452.4,6648.1,6834.8,6937.4,7025.5,7263.8,7421.3,7608,7713.4,7849.1,7951.6,8095.9,8246,8377.2,8537,8668.5,8772.8,8862.4,9086.7,9237.4,9425.9,9539.5,9674.3,9786.8,9923.2,10080,10220,10388,10528,10629,10718,10942,11101,11301,11484,11591,11686,11911,12064,12250,12435,12541,12627,12853,13007,13195,13302,13437,13564,13689,13850,13982,14157,14292,14398,14492,14718,14882,15085,15201,15334,15471,15596,15766,15904,16118,16259,16366,16452,16690,16817,17029,17145,17272,17417,17553,17714,17869,18057,18191,18294,18388,18616,18772,18964,19070,19210,19330,19468,19662,19818
