u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1620.8,1758.3,1984,2129.6,2230.5,2329.7,2512.7,2692.1,2903.7,3032.5,3143.6,3319,3457.8,3622.9,3762.8,3867.6,3967.6,4152.2,4326.3,4542.2,4664.7,4768.9,4920.3,5020.9,5180.1,5318.8,5480.8,5623.6,5725.6,5820.6,5988.3,6161.9,6369.6,6566.3,6655.9,6752.1,6928.4,7106.9,7317.2,7440.8,7544.2,7703.3,7806.3,7977.1,8112,8269.3,8408.5,8511.1,8608.1,8787.2,8968.6,9187.4,9307.8,9413,9563.5,9665.2,9835.3,9972.8,10144,10282,10383,10483,10653,10836,11047,11170,11279,11439,11542,11719,11853,12010,12150,12255,12350,12535,12734,12964,13098,13207,13365,13467,13647,13785,13948,14091,14192,14287,14472,14651,14862,15080,15169,15267,15448,15629,15856,15984,16093,16245,16349,16527,16666,16838,16987,17095,17193,17374,17554,17763,18004,18098,18196,18389,18572,18796,18925,19035,19187,19290,19476,19624,19792,19940,20042,20140,20332,20524,20769,20898,21008,21165,21268,21454,21606,21806,21950,22053,22153
1652.6,1832.8,2059.5,2198,2305.1,2388.2,2622.9,2781.6,2964.4,3085.1,3220.6,3386.9,3524.9,3698.7,3841.9,3943.1,4031.6,4269.5,4417.8,4606.1,4717,4851.6,4970,5098.2,5254.2,5387.8,5565.1,5699.5,5802.9,5884.5,6106.4,6251.1,6436.9,6628.9,6732,6815.7,7048.2,7197.6,7382.9,7493.8,7623.1,7758.4,7889.4,8051.2,8185.5,8349,8484,8587,8676.9,8897.7,9062.2,9255,9360.6,9493.8,9612.7,9747.3,9907.3,10046,10225,10360,10460,10552,10774,10929,11119,11222,11359,11491,11619,11791,11924,12089,12230,12332,12422,12654,12827,13029,13153,13292,13421,13547,13722,13858,14032,14168,14270,14357,14590,14745,14941,15138,15247,15337,15559,15729,15924,16044,16182,16300,16431,16602,16741,16916,17068,17170,17257,17480,17642,17835,18068,18176,18268,18505,18638,18865,18981,19112,19241,19368,19555,19694,19876,20015,20124,20209,20445,20619,20832,20952,21091,21217,21350,21531,21679,21885,22028,22132,22220
