u,u,u,u,r,n,n,a,b,l,e,t,d,x,t,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,w
1021.4,1190.9,1364.7,1569.1,1756.4,1988.8,2135.5,2238.8,2334.7,2520.9,2707.2,2894.7,3038.2,3143.8,3328.3,3462.1,3621.9,3766.7,3869.4,3965.3,4140.8,4318.3,4526.2,4652,4757.4,4928.7,5027.5,5190.5,5325.8,5493.6,5634.8,5735,5831.3,6000.2,6177.9,6399.1,6522.9,6625.2,6779.8,6883.2,7034.3,7137.2,7295.5,7431.4,7594.4,7732.3,7834.8,7931.5,8108.2,8283.1,8501.3,8632.3,8737.5,8894.8,8996.6,9162.1,9299.9,9463.7,9605.8,9704.8,9802,9972.6,10151,10364,10490,10596,10751,10853,11037,11169,11344,11488,11588,11685,11861,12041,12278,12482,12569,12666,12839,13020,13237,13360,13468,13618,13718,13892,14029,14191,14336,14439,14534,14718,14904,15131,15258,15372,15538,15641,15816,15920,16089,16227,16398,16552,16651,16747,16931,17118
1071.5,1236.1,1415.4,1619.1,1845.4,2066.9,2211,2311.2,2404.9,2646.9,2760.7,2956.4,3088.8,3236.1,3395.6,3539.3,3702.7,3844.9,3945.3,4034.4,4265.8,4421.1,4592.3,4717,4848.9,4983.1,5117.2,5266.2,5400.9,5574.7,5708.3,5812.3,5898.6,6130.5,6273.8,6463.7,6579.5,6712.7,6837.5,6973.2,7092,7223.3,7372.2,7503.4,7673.5,7808.9,7911.3,8004.7,8232.8,8382.7,8571.7,8697.7,8825.5,8953.3,9089,9240.5,9382,9546.8,9681.2,9780.8,9876.4,10097,10248,10431,10550,10688,10808,10943,11114,11247,11423,11566,11669,11761,11985,12135,12366,12548,12648,12744,12963,13123,13307,13422,13552,13676,13803,13971,14114,14280,14411,14517,14607,14842,15001,15198,15321,15458,15597,15734,15883,16010,16169,16307,16484,16629,16728,16816,17048,17170
