u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,u,r
1408.2,1572.2,1747.4,1980.6,2122.5,2228.3,2318.9,2497.5,2673.6,2884.1,3010,3116.2,3293,3421.8,3585.9,4368.8,4496.3
1439.7,1624.7,1826.2,2053.4,2192.8,2300,2386.8,2610,2761.9,2946.4,3066.2,3203.6,3363.6,3492.3,3643.3,4415.8,4582.3
