u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,u,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1173.8,1343.4,1472.3,1623.2,1760.3,1989,2129.2,2234.8,2322.7,2491.1,2668.8,2858.2,3033.1,3139.8,3306.7,3440.2,3835,4007.5,4132,4320.8,4451.3,4547.8,4642.1,4804.9,4975.2,5182.5,5303.7,5406.9,5571.3,5669.4,5839.7,5967.5,6121.6,6258.5,6354.5,6443.9,6610.7,6785.9,6999.5,7116.6,7217.1,7370.5,7468,7633.6,7755.3,7912.6,8052.1,8148.1,8238.5,8410.7,8582.7,8786.1,8993.9,9078,9169.8,9342.6,9517.8,9727.2,9846.1,9946.9,10103,10202,10366,10497,10654,10793,10892,10986,11159,11337,11536,11727,11810,11905,12083,12259,12479,12599,12700,12861,12965,13131,13232,13406,13538,13690,13836,13932,14027,14196,14377,14591,14716,14822,14973,15078,15259,15394,15564,15714,15813,15906
1213.6,1391.3,1527.7,1667.6,1850,2061.2,2200.6,2299.4,2386.8,2608.2,2756.3,2943.6,3087.9,3221.2,3374.9,3514.9,3875.1,4063.3,4222.6,4399.4,4523.9,4620.6,4706.7,4918.5,5065.6,5251.7,5355.4,5492.1,5623.2,5759.4,5912.8,6041,6198.6,6328,6423.8,6507.5,6730.2,6871.7,7065,7173.8,7307.5,7418,7552.7,7707.7,7833.4,7995.2,8123.2,8220.5,8311.5,8531.3,8672,8861.3,9050.8,9151.8,9238.3,9462.5,9609.1,9795.4,9902,10034,10160,10293,10443,10569,10729,10869,10968,11058,11280,11429,11615,11783,11886,11972,12206,12354,12546,12657,12793,12939,13061,13195,13320,13483,13616,13775,13908,14009,14094,14317,14480,14659,14778,14911,15031,15174,15335,15474,15651,15788,15892,15979
