u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t
1049.3,1229.4,1779.8,1990,2130.2,2227.3,2322.8,2492.4,2664.8,2870.1,3008.5,3107.5,3273.2,3401.8,3556.2,3694.8,3787.9,3880.4,4064.4,4236.9,4439,4562.2,4666,4827.6,4960.4,5117.3,5260.4,5358.9,5449.9,5624.8,5790.8,5996.7,6117.9,6217.7,6389.3,6516.1,6726.8,6861.7,6956.1,7046.3,7217.6,7395,7603,7721,7822.6,7967.8,8067.2,8223.9,8354.8,8512.7,8654.8,8748.2,8838.3,9015.3,9187.6,9398.8
1097,1273.9,1847.2,2064.8,2199.4,2297.7,2385.3,2604,2749.9,2931.9,3057.6,3188.4,3347.3,3466.8,3632.4,3762.2,3859.8,3947.7,4178.7,4324.8,4505,4611.8,4747.2,4897.7,5031.6,5196.9,5331,5431.6,5511.8,5741,5878.2,6058.9,6171.8,6309.9,6465.5,6592.2,6809.4,6932.2,7028.9,7114.5,7336.5,7492.5,7670.3,7779.7,7911.6,8024.2,8157.6,8299.8,8431.3,8602.1,8724.6,8824.6,8904.5,9137.9,9283.3,9465.5
