r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,u,r,n,n,a,b,l,e,r,u,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s
1762.2,1962.1,2104.2,2199.9,2293.4,2466.1,2639,2850.2,2978.5,3083.2,3254.1,3380.5,3536.3,3675.4,3770.5,3865.6,4047,4217.3,4425.8,4545.3,4647.6,5366.3,5554.3,5688,5784.2,5877.3,6053.2,6227.7,6431.3,6548.4,6650.4,6816.1,6936.9,7093.8,7234.4,7330.6,7422.6,7606.5,7769.2,7985.8,8098.9,8202.6,8350.2,8449.7,8608.2,8731.5,8883.8,9021.3,9117.9,9211.7,9383.3,9549.6,9747.7,9941.3,10021,10113,10293,10462,10680,10798,10900,11043,11144,11307,11406,11577,11704,11861,12005,12099,12194,12367,12548,12774,12900,13005,13155,13313,13433,13630,13772,13873,13966,14145,14325,14533,14845,14986,15188,15325,15426,15519,15708,15884,16110,16235,16340,16497,16596,16758,16857,17052
1831.8,2034.9,2170.2,2270.2,2353.4,2560.9,2719,2909.9,3027.5,3156.6,3325.3,3449.3,3612.4,3745.2,3846.1,3930.4,4150.9,4302.9,4487.6,4596.3,4722.9,5444.2,5631.3,5757.4,5856.8,5939.7,6156.6,6308.3,6492.8,6603.8,6737.8,6885,7005.1,7177.1,7304.5,7408.7,7485.8,7710.6,7858.2,8049,8154.1,8279,8402.4,8526.4,8677.8,8803.8,8963.8,9091.6,9192.2,9277.6,9499.2,9612.7,9811.2,9984.1,10101,10180,10403,10548,10748,10849,10972,11094,11221,11362,11484,11646,11778,11934,12078,12173,12260,12475,12639,12838,12954,13087,13206,13361,13517,13715,13850,13955,14034,14253,14421,14611,14880,15070,15268,15404,15503,15588,15813,15976,16178,16286,16418,16551,16678,16814,16940,17122
