u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s
1058.8,1218,1424.4,1597,1802,1977.7,2205.2,2347.3,2447,2541,2725.2,2898.9,3112.5,3242.3,3347,3534,3665.2,3839.3,3985.2,4088.3,4181.6,4365.8,4545.2,4758.9,4878,4981.9,5154.8,5283.4,5441.8,5581.3,5680.7,5774.3,5952.4,6127.2,6339.2,6462.1,6567.4,6732.7,6833.7,7002.7,7132.3,7289.6,7434.1,7528.8,7622.9,7786.5,7962.6,8167.1,8285.1,8387.5,8538.6,8638.7,8809
1109.6,1266.3,1467.7,1643.2,1853.5,2057.9,2284.9,2418.7,2521.9,2610.1,2838.8,2988.5,3174.8,3298.5,3428.2,3603.9,3739.4,3915.2,4062.8,4161.1,4253.4,4482.9,4631,4816.6,4933.8,5070,5226.4,5356.5,5517.9,5658.3,5754.2,5842.7,6076.1,6219.2,6403.9,6517.3,6655.1,6794.3,6925.6,7078.8,7204.2,7379.9,7508.2,7604.1,7694.9,7905.5,8053.2,8234.9,8346.2,8483.8,8595.3,8726.9,8877.8
