u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s
1374.6,1563.8,1748.3,1978.2,2126.8,2227.3,2325.2,2499.9,2677.7,2878.2,3002.7,3109.2,3278.9,3411.1,3573.7,3714,3814.2,3914.6,4083.5,4257.4,4460.4,4593.1,4701.2,4879,5009.5,5167.9,5309.9,5408.8,5504.1,5670,5842.9,6063.9,6190.9,6297.3,6450.1,6553.4,6729.5,6865.5,7024.8,7167.9,7265.9,7362.9,7534.9,7708.8,7949.2,8074.1,8178,8333.1,8435.3,8599.1,8736.7,8901.3,9040.8,9141.3,9238.2,9423.5,9603.5,9827.4,9961.3,10071,10235,10341,10508,10645,10827,10974,11075,11174,11364,11548,11768,11905,12014,12185,12295,12483,12650,12806,12947,13048,13148,13326,13508,13732,13860,13970,14124,14230,14416,14556,14774,14922,15030,15129,15308,15490,15709,15843,15951,16104,16210,16406
1425,1600.2,1838.8,2060.8,2200.3,2302.2,2386,2608.1,2770.9,2945,3063.7,3187.1,3354,3480.1,3654.2,3790.5,3892.6,3979,4193.8,4347.4,4528.5,4651.1,4781.7,4949.9,5076.8,5252.1,5384.7,5486.8,5570.6,5786.7,5934.4,6129.3,6246.4,6384.7,6506.7,6638.3,6805.4,6933,7107.8,7237.4,7343.2,7429.7,7644.5,7796.2,8018.6,8130,8270.6,8392.7,8518.5,8673.2,8806.8,8985.8,9120.1,9223.6,9307.2,9544.5,9700.5,9898,10021,10155,10290,10420,10584,10721,10907,11052,11159,11244,11477,11645,11839,11965,12097,12242,12375,12558,12721,12884,13027,13128,13215,13438,13598,13802,13918,14054,14181,14318,14494,14632,14857,15001,15113,15198,15419,15581,15786,15899,16040,16166,16298,16485
