u,u,u,u,r,n,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,u,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r
1168.7,1315.2,1449.7,1613.4,1764.5,1986.2,2187.7,2325.9,2535.1,2670.3,2765.4,2857.9,3023.2,3190.2,3395.8,3509.4,3610.9,3757.6,3857,4023.2,4143.3,4294.8,4426.3,4522.9,4616.2,4780.6,4960.2,5157.7,5280.2,5384,5531.1,5631.8,5804.2,5933.3,6094.1,6235.1,6334.2,6426.5,6593.1,6769.1,6960.4,7153.8,7230.5,7325,7490.3,7666,7875.7,7996.6,8100.4,8246.6,8347.3,8519.2,8658.8,8929.1,9083.1,9222.2,9428.4,9567.6,9663.1,9759.2,9940.1,10120,10330,10454,10561,10725,10827,11002,11136,11294,11434,11536,11631,11811,11995,12202,12436,12521,12616,12796,12985,13205,13328,13433,13590,13691,13867,14003,14175,14324,14428,14524,14697,14882,15098
1212.8,1351.7,1499.9,1666.5,1843.5,2029.6,2256.6,2418.2,2613.8,2741.5,2839.9,2925.7,3141.3,3283.7,3460.6,3571.2,3703.1,3822.6,3956.4,4095.8,4219.4,4372.7,4497.2,4598.7,4685.6,4910.2,5050,5232,5342.3,5476.6,5586.3,5729.2,5876.1,6016,6173.4,6310.1,6409.5,6500.3,6716.6,6861,7039.9,7200.9,7310.2,7394.4,7614.2,7761.4,7949.4,8055.7,8195.3,8304.9,8446.8,8597.5,8735.5,8961.3,9143.7,9316.5,9512.4,9642.9,9740.2,9830.4,10062,10215,10402,10513,10655,10791,10921,11082,11221,11375,11510,11614,11709,11931,12095,12288,12493,12600,12695,12920,13085,13275,13388,13530,13647,13786,13943,14077,14255,14404,14506,14595,14820,14985,15181
