u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,l,u,u
1130.5,1265.1,1417.3,1585.3,1743.6,1977.8,2118.2,2219.1,2315.3,2484.4,2659.9,2871.8,2996.8,3104.7,3267.8,3399.6,3558,3694.8,3792.2,3890.2,4068.7,4246.7,4460.7,4589.2,4696.2,4848.2,4953.3,5120.7,5251.8,5411.1,5552,5653.8,5749.6,5925.6,6104.3,6304.8,6508,6588.5,6684.6,6865.3,7047.5,7270.7,7400.5,7509.2,7667.2,7773.8,7945.9,8307,8478.2,8660.1
1165.5,1305.7,1461.2,1628.9,1823.2,2050.5,2187,2289.5,2374.9,2599,2753,2940.5,3050.6,3184.8,3338.5,3472.9,3634.9,3766.2,3864.3,3955.3,4181.3,4336.7,4525.1,4640.6,4779.9,4905.4,5039,5196.3,5323.8,5493.3,5631.1,5727.5,5813.2,6048.2,6196.7,6377.2,6558.5,6662.4,6753.2,6979,7135.3,7339.1,7456.8,7590,7719.9,7869.2,8022.7,8367.2,8538.2,8693.4
