r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,u,d,n,n,a,b,l,e,r,n,a,b,l,e,n,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l
1490.3,1720.6,1864.1,1968,2069.6,2247.6,2428.3,2645.3,2775.3,2884.9,3040.9,3143.6,3307.6,3444.3,3604.1,3746,3845.9,3942,4135.9,4315.3,4533.8,4655.8,4764.5,4942.5,5081.1,5118.8,5247.9,5389.2,5488.8,5589,5767.7,5942.2,6147.7,6355.1,6434.8,6532.3,6729.8,6917.5,7130.4,7231.4,7442.6,7530.1,7630.6,7815.1,7995.2,8219.7,8340.5,8446.6,8602.4,8705.8,8872.8,9016.3,9187.2,9323.8,9426.8,9522.2,9701.9,9878.5,10093,10223,10331,10487,10588,10762,10900,11070,11210,11315,11416,11590,11775,11977,12212,12298,12399,12593
1555.6,1790.9,1938,2038.6,2129.7,2346.2,2521.9,2704.2,2827.9,2962.6,3086.5,3222.8,3380.1,3510.8,3680.6,3820.7,3917.3,4010,4244.7,4411.8,4595.8,4707.7,4835,5013.1,5112.7,5150.1,5329.1,5461.9,5560.5,5650.2,5879,6033.1,6223.6,6404.7,6516.3,6603.2,6843.3,6988.7,7181.4,7302.4,7497.8,7605.8,7695.8,7928.2,8087.1,8285.4,8394.2,8527.4,8657.8,8786.7,8946.6,9090.6,9266,9400.5,9500.8,9588.6,9812.1,9967.5,10163,10276,10414,10537,10672,10835,10970,11146,11287,11392,11486,11710,11857,12049,12266,12377,12465,12696
