r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1309.2,1600,1754.2,1962.4,2105,2209.1,2307.8,2508,2682.5,2905.1,3034.5,3143.8,3317.1,3455.6,3621.1,3761.9,3860.9,3958.4,4139.5,4312.5,4528.2,4659.4,4765.3,4924.5,5026.1,5204.9,5345.9,5520.4,5663.3,5764.4,5865.1,6039.4,6217.9,6437.6,6554.1,6661.7,6816.9,6918,7089.3,7222.5,7392.1,7541.1,7643.1,7738.1,7917.1,8094.1,8312.7,8517.6,8596.1,8692.5,8870.3,9052.7,9270.5,9391.5,9498.7,9645.4,9745.2,9919.5,10050,10211,10353,10453,10553,10752,10928,11146,11270,11376,11539,11642,11816,11951,12123,12270,12369,12465
1372.7,1637.9,1825.8,2032.7,2178.1,2280.4,2369,2604.2,2772,2960.6,3088,3230.4,3390.8,3522.7,3702.8,3834.6,3934.6,4020.9,4251.5,4397.8,4595.5,4709.4,4848.3,4978.7,5111.1,5275,5420,5598.1,5739.9,5842,5927.9,6153.9,6309,6500.8,6606.8,6751.7,6868.9,7000.3,7161.8,7294.1,7475.5,7617.5,7718,7805.8,8034,8187.3,8391,8569.1,8672.8,8759.2,8992,9141,9333.7,9449.8,9581.9,9692.5,9831.7,9993.9,10121,10293,10425,10533,10618,10866,11023,11214,11322,11460,11589,11727,11889,12019,12199,12346,12446,12533
