u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x
2215,2373.3,2579.5,2721.7,2817.3,2911.5,3088.8,3270.3,3475.2,3608.3,3716.1,3889.7,4020.2,4183.9,4328.6,4430.4,4526.5,4709.4,4892.6,5109.4,5242.6,5351.9,5518.4,5633.4
2270.7,2471,2659.6,2791.2,2893.7,2991.8,3208.5,3358.5,3541.7,3673.5,3807,3962.9,4092.6,4268.5,4408.9,4506.4,4598.5,4832.9,4993.9,5178.1,5301.8,5444.3,5586.4,5721.9
