u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1456.1,1627.8,1827.1,1983.8,2193.4,2337.8,2434.8,2533,2703.4,2873,3073.5,3194.1,3296.5,3475,3613,3768.5,3904.7,4004,4102.8,4267.1,4440.7,4638.2,4762.4,4863.4,5018.1,5117.5,5278.7,5408.3,5569.2,5709,5809,5901.1,6064.7,6230.8,6443.5,6628.6,6707.8,6803.3,6975,7147,7348.5,7470.1,7570.6,7719.2,7817.6,7973.5,8098.7,8248.5,8383.2,8483.9,8576.9,8750.3,8916.2,9117.8,9238.8,9342.3,9488.2,9590.9,9762.4,9901.9,10058,10197,10295,10390,10568,10746,10967,11084,11190,11339,11439,11611,11741,11912,12053,12155,12245,12410,12590,12807,12936,13041,13190,13290,13457,13588,13760,13903,14005,14097
1502.8,1678,1873.2,2071.8,2274,2413,2511,2596.6,2807.8,2956.8,3138.7,3248.8,3381.6,3584.1,3690.2,3850.2,3980.5,4077.9,4166.2,4388.1,4531,4704.7,4820.2,4955.1,5075.9,5206.7,5351.6,5478.2,5651.2,5785.2,5884.8,5972.7,6186.4,6323.4,6529.2,6687.1,6784.1,6872.6,7096.5,7239.2,7415.4,7525.6,7651.6,7781.5,7906.6,8049,8170.8,8328.1,8458.9,8559.9,8645.2,8869.4,9006.9,9187.3,9294.3,9427.9,9546.1,9675.2,9837.6,9976.7,10138,10275,10376,10460,10688,10836,11038,11143,11275,11393,11519,11680,11811,11990,12136,12230,12318,12531,12684,12877,12994,13126,13246,13379,13530,13659,13838,13979,14081,14163
