u,u,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1006.6,1173,1343.8,1498.8,1741.6,1887,1988.6,2084.9,2276.5,2453.4,2661.6,2785.8,2891.6,3059.1,3163.9,3321.5,3446.7,3600.6,3737.5,3837.9,3934.3,4118.9,4292.2,4513.6,4638.8,4740.5,4897.1,5001.4,5172,5308.6,5465.4,5606,5704.3,5800,6258.9,6405.8,6607.4,6741.2,6842.4,6937.3,7104.1,7277.2,7488.3,7608.5,7714.2,7862.4,7965.2,8133.6,8261.1,8418.3,8557.8,8655,8751.8,8926.8,9104.7,9327.5,9453.8,9561.8,9716,9818.1,9992.8,10125,10287,10426,10527,10623,10809,10985,11177,11371,11454,11552,11735,11910,12119,12324,12406,12507,12696,12880,13106,13231,13332,13481,13582,13752,13886,14052,14194,14296,14388,14570,14754,14979,15110,15215,15368,15472,15664,15794,15953,16097,16197,16292,16487,16675
1046.6,1211.5,1385.6,1577.6,1810.7,1954.1,2059.9,2144.9,2383.3,2541.2,2721.9,2835.7,2977.2,3109.8,3247.3,3392.9,3510.7,3676.1,3812.5,3910.9,3996,4227.7,4386.9,4579.8,4689.3,4827,4948.7,5085,5247.1,5376.3,5545.9,5678.1,5779.6,5866.3,6297.7,6483.5,6683.8,6815.8,6916.8,7004.6,7220.4,7364.4,7549.9,7661.2,7795.4,7915.4,8045,8200.1,8328.6,8497,8632.1,8734.8,8814.8,9043.2,9192.9,9391.8,9507.2,9637.2,9769.2,9892.3,10061,10194,10367,10500,10602,10685,10926,11053,11257,11428,11532,11616,11847,11997,12188,12382,12485,12567,12815,12977,13172,13283,13417,13537,13663,13829,13957,14131,14267,14368,14454,14689,14844,15047,15167,15306,15423,15554,15729,15865,16034,16171,16273,16357,16590,16740
