u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n
1154.5,1293.3,1464.3,1601,1834.8,1975.5,2072.3,2162.8,2347.7,2510.9,2714.8,2841.1,2946.8,3119.3,3249.8,3402.2,3540.3,3641.5,3734.2,3910.3,4080.1,4275.7,4459.4,4542.5,4636.7,4816.2,4987.6,5197.2,5314.2,5416.6,5573.3,5673.2,5855.5,5989.7,6154.3
1195.1,1337.9,1502.3,1681.3,1905.5,2039.3,2139.6,2227.5,2449.8,2578.7,2777,2896.5,3032,3187.3,3317.9,3480.3,3613.4,3714.1,3800,4019.2,4166.6,4339.8,4515.3,4615.8,4701.1,4923.8,5074,5259.2,5365.9,5498.9,5625.6,5754.8,5925,6055.5,6206.1
