u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,w
1090,1249.7,1427.4,1588.2,1852.1,1989.9,2091.2,2188.4,2376.1,2552.2,2745,2879.2,2991.2,3160.7,3299,3464.4,3608.9,3705,3800.3,3984.2,4157.2,4371,4506.5,4613.2,4784.5,4920.5,5082.1,5226.9,5328.8,5422,5597.5,5774.1,5985.2,6110,6213.2,6383.4,6518,6687.7,6831.2,6930.8,7025.1,7208.8,7384.9,7591.1,7720.2,7823,7976.4,8076.4,8250,8385.1,8541.9,8685.8,8784.5,8879.7,9057.6,9233.8,9440.4,9634.6,9717,9817,9999.8,10176,10388,10510,10615,10781,10883,11054,11195,11350,11494,11593,11690,11876,12051,12273,12400,12510,12669,12772,12945,13084,13246,13392,13487,13588,13772,13957,14166,14375,14463,14560,14737,14922,15145,15268,15373,15528,15631,15808,15954,16120,16266,16366,16458,16662,16851
1124.2,1284.3,1459.9,1659.8,1911.2,2061.2,2166.6,2250.3,2479.7,2613.2,2805.3,2933.1,3071.5,3230.2,3377,3544.5,3681.4,3782.3,3866.2,4093.9,4246.7,4433.1,4558.9,4690.6,4857.3,4993.9,5164.8,5302.5,5400.2,5486,5706.5,5867.9,6049.4,6162.4,6289.7,6459,6589.6,6770.3,6906.5,7005.7,7092.1,7319.6,7477.8,7659.7,7776.4,7899.7,8034.2,8151.2,8320.1,8455.5,8625.4,8760.3,8862.6,8940,9170.7,9327,9517.5,9693.9,9795.4,9881.6,10109,10271,10453,10568,10695,10838,10958,11125,11266,11436,11571,11672,11759,11990,12145,12348,12457,12590,12728,12856,13017,13159,13330,13464,13563,13652,13884,14056,14234,14436,14542,14630,14849,15018,15209,15323,15456,15585,15709,15884,16027,16203,16340,16444,16528,16784,16899
