r,u,n,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,n,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,n,a,b,n,e,t,d,x,d,x,s,r,n,n,a,b
1319.5,1597.4,1737.2,1960.7,2110.5,2213.8,2310.1,2496.2,2668.8,2879.6,3004.1,3115.3,3274.6,3381.7,3550.9,3686.5,3848.8,3987.3,4085.8,4181,4368.1,4546.9,4763.7,4888.8,4998.8,5166.3,5267.2,5443.6,5580.7,5754,5887.4,5989.8,6084.3,6262.8,6438.3,6639.6,6838,6927.1,7022.3,7197.4,7373.8,7585.6,7700.4,7808,7957.4,8058.4,8229.2,8361.7,8519.6,8657,8759.8,8853.6,9030.8,9206.6,9425.2,9545.7,9649.9,9805.9,9909.2,10073,10208,10361,10506,10604,10702,10870,11051,11256,11375,11588,11670,11766,11957,12143,12352,12567,12656,12753,12935,13121,13329,13449,13554,13704,13803,13960,14060,14227,14361,14525,14668,14765,14860,15048,15224,15437,15634,15790,15890,15988,16201,16385,16602,16730,16834,16981,17083,17265,17406,17561,17706,17805,17902
1387.3,1629.2,1787.8,2034.1,2182.1,2283.2,2371.2,2598.3,2738.9,2939.1,3052.9,3194.6,3322.8,3456.8,3619.2,3754.4,3924.8,4058.3,4163.5,4245.6,4474.1,4640.6,4824.2,4938.8,5087.9,5217.4,5358.1,5514.5,5653.8,5830,5961.3,6064,6148.9,6375.7,6523.9,6701.9,6897.4,7002.5,7088.8,7303.3,7466,7647.2,7754.4,7888.4,8012.6,8146.3,8297.6,8431.9,8594.7,8733.9,8833.3,8918.1,9142.2,9293.9,9487.7,9596.3,9730.8,9860.6,9992.2,10146,10284,10451,10578,10682,10770,10982,11145,11329,11448,11640,11749,11833,12066,12228,12425,12634,12734,12819,13050,13176,13394,13502,13632,13758,13888,14013,14138,14300,14433,14605,14739,14840,14926,15163,15320,15506,15724,15866,15967,16055,16305,16476,16672,16783,16917,17033,17155,17335,17474,17639,17777,17880,17971
