l,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n
1071.4,1228.3,1385.1,1562.4,1724.2,1978.5,2116.2,2218.6,2311.3,2492.5,2666.4,2867.8,3001,3110.6,3283.3,3413.7,3575.2,3717.3,3815,3907.2,4088.1,4258.9,4470.2,4590.6,4693.6,4864.1,4991.7,5151.5,5296,5392.7,5485.3,5654.7,5826.3,6048,6167.7,6274.8,6628.9,6775,6975.9,7114.4,7213.1,7306.9,7487.4,7660.2,7868.1,7981.5,8083.8,8232.5,8328.7,8494.5,8618.1,8776.9,8911.9,9012.1,9104.2,9271.4,9450.2,9639.8,9833.1,9912.7,10008,10176,10355,10565,10680,10783,10930,11030,11227,11351,11507
1131.3,1270,1431.2,1614.3,1815.9,2049.1,2191.7,2289.5,2377.4,2601.2,2753.2,2930.1,3054.5,3199.5,3352.7,3481.7,3659.7,3791.2,3891.3,3978.7,4204.1,4347.9,4531.6,4643.3,4768.9,4932.7,5062.9,5233.3,5370.9,5468.6,5553.5,5778.3,5925.6,6114,6221.4,6358.5,6679.8,6868.5,7055.2,7189.3,7286.9,7372.3,7598.8,7742.6,7931.2,8035,8162.9,8285.1,8414.8,8569,8702.6,8856.5,8985.6,9087.9,9175.2,9394.2,9540.4,9716.2,9889.2,9992.8,10077,10296,10451,10629,10737,10871,10993,11109,11300,11429,11554
