u,u,u,r,n,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,n
1491.9,1645.7,1815.3,1971.4,2210.3,2362.7,2510.1,2607.4,2705.7,2880.6,3060,3273.2,3404.4,3510.2,3686.4,3817.5,3985.8,4124.3,4224.9,4316.3,4488.8,4670.5,4868.7,5076.8,5153.7,5249.4,5424.2,5604.2,5806.3,6002.5,6149.9,6246.5,6340.1,6523.2,6702.5,6910.7,7031.9,7134.5,7280.4,7378.5,7539.3,7672.1,7830.8,7971.7,8071.8,8169.2,8340.4,8518.2,8711.7,8915.3,8999.5,9092.3,9275.4,9452.6,9658,9775.6,9878.1,10020,10119,10272,10373,10546,10678,10835,10976,11075,11169,11337,11512,11710,11913,12004,12100,12288,12473,12679,12799,12903,13051,13151,13306,13409,13580,13716,13874,14013,14112,14206,14381,14570,14768,14964,15050,15145,15333,15525,15733,15949,16047,16143,16311,16522
1525.5,1690.2,1866.7,2060.3,2266.8,2435.3,2577.6,2677.2,2768.2,2991.6,3149.4,3335.3,3459.4,3596.3,3764.1,3892.1,4062.5,4197.8,4298.5,4394.1,4609.2,4765.7,4945.6,5121.3,5232.8,5316.3,5542.8,5698.6,5883.4,6091.6,6223,6320.7,6407.9,6644.3,6798.2,6976.5,7088.3,7221.8,7337.7,7468.3,7616.8,7752.4,7913.8,8046.2,8150.4,8245.6,8461.9,8616.9,8794.2,8972.2,9074.9,9168.2,9399.4,9548.2,9728.5,9838.6,9969.1,10082,10202,10328,10468,10622,10755,10917,11050,11152,11242,11460,11610,11799,11984,12083,12176,12406,12570,12750,12857,12992,13108,13243,13364,13498,13654,13791,13959,14088,14188,14277,14505,14665,14855,15025,15130,15221,15454,15625,15818,16023,16131,16212,16437,16563
