u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,n,r,n,a,b,l,e,t,d,x,s,r,n,n,a,b
1351.1,1535.6,1689.1,1964.5,2108.7,2213.2,2312.7,2498.4,2679.7,2888.2,3032.5,3143.4,3311.7,3449.3,3613.8,3749.2,3851,3948.6,4128,4309.6,4528,4666.4,4774,4950.9,5085.4,5251.1,5395.5,5500.2,5599.2,5774.8,5956.3,6171.7,6298.5,6496.9,6583,6680.1,6866.1,7052,7269.3,7393.1,7497.2,7676.3,7806.6,7965.3,8107.6,8209.2,8303.9
1394.3,1575,1771.6,2034.9,2178.7,2282.9,2373.9,2606.4,2744.4,2957,3090.8,3232,3386.2,3518.1,3691.6,3820.9,3927.7,4016.9,4246.5,4405.6,4588.8,4720.7,4863.6,5021.3,5160.1,5329.7,5474,5573.2,5674,5896.2,6059.4,6240.3,6368,6558.3,6658.2,6751.4,6985.2,7147.3,7340.2,7449.2,7586.8,7749.9,7882.8,8047.7,8182.9,8283.4,8336.4
