u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,u,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s
1660.1,1787.6,1976.9,2116.4,2213.5,2309.4,2480.8,2655,2862.4,2981.9,3082.9,3242.6,3345.3,3506.2,3636.9,3791.2,3929.7,4038.3,4132.4,4314.4,4495.5,4709.2,4906.8,4993.8,5089.2,5266.5,5440.8,5663.3,5788.1,5892.4,6047.8,6147.8,6311.1,6445.4,6601.5,6739.5,6838.1,6933.2,7108.8,7283.3,7485,7677.1,7766.2,7859.1,8037.7,8218.1,8422.7,8577.4,8725.5,8869.4,9066.3,9200.1,9295.7,9391.3,9588.3,9768.6,9965.5,10175,10262,10357,10550,10730,10941,11065,11170,11320,11420,11588
1707.1,1873.6,2053.1,2187.2,2287,2372.3,2597.6,2744.1,2927.8,3038.3,3169.5,3298.7,3433.6,3580.6,3708,3869.6,4012.8,4110.5,4196.6,4428.3,4585.4,4782.6,4966.8,5074.7,5159.2,5373.5,5534.6,5725.8,5843.2,5979.5,6102.6,6235.8,6386.9,6520.7,6678.5,6815.2,6915,7006.3,7224,7376.4,7555.3,7739.2,7844.5,7925.3,8154.7,8313.3,8512.3,8635.2,8800,8967.1,9148.3,9275.7,9372.8,9461.4,9706.7,9858.5,10047,10230,10336,10425,10671,10824,11008,11123,11259,11375,11500,11662
