r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x
1735.5,1948.3,2091.3,2192.2,2285.4,2472.9,2649.3,2862.7,2988.9,3093.7,3264.5,3399.8,3570.8,3710.8,3812.5,3911.9,4091.7,4264.6,4476.7,4599.4,4705.2,4855.6,4957.8,5134.4,5266.2,5430.6,5568.3,5666.6,5760.6,5941.7,6114.3,6320.2,6517.8,6603,6699.1,6888.6,7067.4,7285.2,7417.8,7525,7694.2,7803.3
1804.2,2019.4,2162,2262.2,2346.5,2581.8,2734.1,2926,3041.4,3174.3,3333.4,3465.7,3653.9,3787.2,3886.5,3973.8,4201.8,4356.4,4541.1,4651.7,4782.4,4903.8,5038.4,5202.8,5332.1,5512.8,5642.4,5740.1,5824,6044.3,6198.5,6390.6,6573.1,6678.6,6766.9,6998,7161.5,7347.8,7471.2,7598.2,7749.2,7891.9
