g,c,c,c,c,c,c,b,b,c,b,b,b,b,b,b,b,e,e,e,e,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,d,k,l,b,e,h,b,e,e,e,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,h,g,g,g,h,d,k,l,b,e,e,e,j,j,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,d,k,l,b,e,h,d,k,l,g,g,g,e,b,b,b,b,b,b,b,b,b,b
914.66,2356.9,2507.8,2653.7,2793.8,2951.1,3109.7,3238.1,3411.9,3586.8,3769.3,3921.7,4062.3,4231.7,4382.5,4560.7,4758.9,4904,5046.7,5208.8,5353.2,5502.2,5647.5,5792.5,5942,6080.7,6229.9,6379,6519.5,6670,6755,6854,6982.7,7074.1,7198.3,7324.8,7461.2,7573.6,7644.9,7802.9,7936.4,8056.4,8127.8,8280.5,8412.4,8534.1,8604.2,8788.1,8909.2,9043.4,9167.1,9288.7,9427.2,9565.3,9693.5,9849.2,9934.7,10036,10163,10254,10381,10510,10632,10754,10824,10981,11122,11244,11363,11433,11594,11737,11891,12040,12182,12326,12443,12561,12635,12837,12963,13106,13244,13379,13524,13670,13820,13962,14109,14193,14296,14425,14502,14641,14769,14908,15028,15101,15284,15410,15539,15671,15790,15863,16023,16172,16294,16368,16569,16695,16842,16966,17094,17165,17346,17501,17661,17837,17999,18135,18287,18431,18583,18729,18872,19015,19161,19307
946.22,2390.9,2537.8,2698,2833.9,3003,3160.8,3307.7,3481.8,3638.9,3835.7,3990.7,4154.5,4298.9,4459.2,4633.1,4796.5,4974.8,5109,5271.6,5416.3,5565.2,5709,5856.4,6002.3,6158.7,6310,6458.1,6598.3,6729.6,6824.8,6921.8,7031.9,7166.1,7289.7,7384.3,7515,7632.8,7711.1,7862.8,7992.7,8115.2,8194.8,8343.1,8469.6,8592,8672.7,8827.8,8970.7,9082.2,9208.7,9351.2,9492.8,9628.5,9771,9906.5,10004,10100,10217,10348,10475,10571,10695,10815,10897,11041,11166,11321,11422,11501,11653,11779,11925,12079,12234,12364,12500,12621,12700,12880,13027,13168,13305,13461,13604,13750,13900,14042,14170,14265,14365,14479,14612,14734,14830,14964,15091,15165,15328,15461,15583,15723,15850,15932,16084,16227,16357,16435,16614,16754,16885,17020,17152,17232,17385,17545,17711,17895,18046,18205,18355,18504,18656,18798,18946,19088,19237,19384
